,,,Mean RPM EGF addition on Vemurafenib (1uM) and Cobimetinib (1uM) 24hrs pretreatment ,,,,,,,,Std RPM EGF addition on Vemurafenib (1uM) and Cobimetinib (1uM) 24hrs pretreatment ,,,,,,
,,,Time (h),,,,,,,,Time (h),,,,,,
ENSG00000131584,ACAP3,,94.3118,95.6311,95.3875,95.6483,86.7042,91.6018,79.4646,,13.1853,8.6405,4.885,5.0991,12.9936,7.1104,4.381
ENSG00000169972,PUSL1,,14.2461,14.1589,14.0914,12.6867,13.0551,13.2665,13.8457,,1.2499,1.6593,1.964,1.1227,0.92247,1.4101,0.76038
ENSG00000127054,INTS11,,89.0196,90.8298,94.9677,96.889,91.9377,88.3171,84.4882,,8.2919,5.6323,4.6551,6.1078,5.4303,7.5835,8.0073
ENSG00000240731,AL139287.1,,3.2417,3.397,2.7985,3.0358,2.6055,3.3586,2.0507,,0.57086,0.40956,0.49525,0.72199,0.38425,0.8344,0.57659
ENSG00000224051,CPTP,,26.6118,26.2851,25.1559,27.2376,27.6165,26.8996,26.8234,,1.397,1.8994,2.8468,2.0614,2.1553,2.5229,1.4154
ENSG00000169962,TAS1R3,,2.5125,1.7228,1.9544,1.8694,1.7333,1.8807,1.4531,,1.0044,0.2755,0.25022,0.90884,0.054372,0.68081,0.3716
ENSG00000107404,DVL1,,45.9028,47.9916,46.479,46.8055,43.9286,48.1209,45.3302,,3.0026,1.8739,1.2277,4.9419,5.0672,1.8175,2.4711
ENSG00000162576,MXRA8,,0.70793,0.60288,0.69602,0.9546,1.28,0.68724,1.1074,,0.22249,0.18903,0.3,0.16907,0.12411,0.23834,0.68751
ENSG00000175756,AURKAIP1,,81.5995,87.4764,85.0338,83.1431,80.5676,84.0133,81.7207,,12.4155,7.0218,1.605,10.1479,7.4009,3.6611,6.147
ENSG00000221978,CCNL2,,392.2737,408.6029,420.8229,424.0017,378.1837,412.9556,372.418,,32.8334,24.8219,27.7986,6.5805,41.4947,12.0435,13.5841
ENSG00000224870,AL391244.1,,57.5285,57.8718,58.6282,56.1237,54.1697,54.5165,51.882,,1.2814,1.2932,3.8102,5.6776,6.7066,5.7416,4.5951
ENSG00000242485,MRPL20,,79.8241,86.7135,81.1424,82.3039,83.088,81.627,82.19,,7.439,4.1256,1.253,8.5865,5.8085,4.3395,3.9317
ENSG00000272455,AL391244.3,,10.0894,10.0976,10.9674,10.9592,10.6102,11.3883,8.7561,,1.1928,0.81455,0.65168,0.62446,0.95841,1.2506,0.50213
ENSG00000235098,ANKRD65,,1.9492,2.2667,1.7254,1.7985,1.4986,2.0904,1.5119,,0.84749,0.83264,0.63333,0.44329,0.6351,0.73825,0.68228
ENSG00000225285,LINC01770,,3.2875,3.2122,3.0953,2.7927,2.5778,2.9896,2.6278,,1.0237,0.48114,0.86245,0.59152,0.22883,0.65664,0.55133
ENSG00000179403,VWA1,,13.3248,13.6737,12.7149,12.875,12.5007,12.6212,11.9933,,1.9498,0.94379,1.4845,2.1665,1.472,1.6842,0.86747
ENSG00000215915,ATAD3C,,0.45103,0.56614,0.54855,0.49873,0.4693,0.46942,0.29147,,0.13082,0.26262,0.29976,0.13828,0.49818,0.34987,0.19951
ENSG00000160072,ATAD3B,,20.0506,20.3322,21.8906,24.2019,20.0479,22.6237,18.9194,,2.6504,1.3824,3.1752,4.353,4.718,3.0736,2.263
ENSG00000284740,AL645728.2,,0.51112,0.6139,0.74997,0.86169,0.8231,0.64955,0.43135,,0.088053,0.29378,0.16485,0.26164,0.57348,0.37075,0.37158
ENSG00000197785,ATAD3A,,25.6213,25.9449,25.3767,26.3484,25.1007,26.5906,25.8274,,1.0437,2.5898,1.5095,2.6318,1.6796,2.1684,3.7491
ENSG00000205090,TMEM240,,0.50922,0.70782,0.93373,0.74349,0.61046,0.56048,0.54185,,0.21804,0.33947,0.37854,0.46824,0.27669,0.20347,0.23873
ENSG00000160075,SSU72,,98.2776,101.2285,103.3359,96.5471,100.3254,98.34,100.9454,,5.3486,4.376,3.5272,8.6469,5.433,4.6131,6.0428
ENSG00000215014,AL645728.1,,1.3305,1.4208,1.5814,1.2514,1.3565,1.2749,1.2169,,0.43533,0.43813,0.42977,0.3812,0.35235,0.56983,0.47661
ENSG00000228594,FNDC10,,13.526,14.3058,13.3677,13.1913,12.3783,12.7967,10.9904,,1.9209,1.2658,0.80062,2.3461,1.0138,2.38,1.402
ENSG00000272106,AL691432.2,,9.8097,9.936,9.5387,9.2691,8.8805,10.0781,10.4207,,2.6464,0.77195,0.7374,1.2741,1.1661,2.1503,1.1513
ENSG00000197530,MIB2,,59.6462,59.5297,62.904,62.9762,52.2136,57.512,52.7784,,1.0387,2.8299,5.0897,6.8548,6.5689,4.9188,6.3441
ENSG00000248333,CDK11B,,35.3371,37.2361,37.8322,37.2214,35.4112,36.7529,32.554,,1.5361,2.4634,2.233,2.4403,4.5291,3.6213,1.3654
ENSG00000189339,SLC35E2B,,114.0662,113.7447,105.2562,113.9209,111.3996,107.2597,103.4033,,10.699,3.6521,4.9941,4.2242,1.9461,3.7189,6.3065
ENSG00000008128,CDK11A,,5.3926,4.5367,4.8311,4.7085,4.1844,4.8555,3.8553,,1.9697,1.0306,0.58478,0.54928,0.92803,0.89809,0.7476
ENSG00000268575,AL031282.2,,6.3165,6.1806,6.2698,6.4707,5.7312,6.1352,5.1746,,1.3979,0.68724,1.0192,0.34281,1.0961,0.79678,0.50949
ENSG00000215790,SLC35E2A,,5.2602,5.3435,5.0318,5.9378,4.667,5.2346,4.7416,,1.9183,1.0802,0.80433,1.1417,0.98646,0.50507,0.50342
ENSG00000008130,NADK,,54.2971,52.8624,56.2105,53.1364,52.1122,51.578,47.6431,,2.8853,1.935,2.5943,2.5326,2.4935,1.2342,1.5975
ENSG00000078369,GNB1,,311.2246,319.9524,315.6523,324.3743,340.9158,322.6469,320.4378,,15.9946,13.8032,5.1845,6.5583,8.7604,7.2447,8.1454
ENSG00000231050,AL109917.1,,0.55575,0.89353,0.81256,0.75457,0.47064,0.61852,0.62508,,0.43996,0.10965,0.207,0.21637,0.23522,0.22153,0.52861
ENSG00000169885,CALML6,,4.3194,4.5361,5.0229,4.6828,3.647,4.9428,3.2433,,0.60271,0.80124,0.79928,1.1765,1.1216,0.12509,0.15102
ENSG00000067606,PRKCZ,,13.0463,12.5462,11.1674,12.5017,11.7877,12.6786,11.7945,,1.778,1.0559,1.2669,1.4671,1.8879,1.3934,1.4541
ENSG00000182873,PRKCZ-AS1,,0.57345,0.69036,0.83225,0.53091,0.80715,0.71255,0.68106,,0.30579,0.41198,0.39306,0.057828,0.53234,0.14506,0.33966
ENSG00000162585,FAAP20,,37.405,37.6681,38.6253,37.37,36.2887,36.6828,35.2388,,3.0282,1.1276,3.4542,5.2799,2.6054,3.4679,5.3484
ENSG00000157933,SKI,,70.3223,63.3197,63.9051,64.9515,66.3777,66.6016,65.9413,,2.7967,3.1174,2.2097,3.545,4.7884,3.7606,2.3486
ENSG00000116151,MORN1,,14.8429,15.079,14.4104,14.8126,13.9354,15.775,14.7647,,2.271,0.61235,1.0338,1.5663,1.987,0.87179,2.28
ENSG00000269896,AL513477.1,,2.6848,2.1817,2.0824,2.0553,2.055,1.8839,2.3576,,0.91892,0.42583,0.59657,0.40912,0.36661,0.58428,0.3194
ENSG00000272420,AL513477.2,,0.41018,0.37316,0.53516,0.49883,0.53168,0.59649,0.479,,0.39296,0.19003,0.26342,0.094705,0.25028,0.36833,0.18806
ENSG00000157916,RER1,,200.2192,207.3975,213.8515,211.6772,207.6745,206.2413,207.5127,,8.9468,4.4617,5.6753,8.8123,4.4923,11.0081,7.8067
