Cell_Line,Vemurafenib,Dabrafenib,LY3009120,PLX8394,Trametinib,Cobimetinib,EGF,Time_Drug,Time_EGF,pERK,pMEK,Concentration (uM),Concentration (uM),Concentration (uM),Concentration (uM),Concentration (uM),Concentration (uM),Concentration (uM),Concentration (uM),Concentration (uM),Concentration (uM),Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Std,Std,Std,Std,Std,Std,Std,Std,Std,Std
A375_Cra_F7_5/13,-1,0,0,0,0,0,0,24,8,0,1,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,0.922857874,0.82874008,0.802289875,0.737408356,0.559475653,0.315767335,0.121600589,0.066039288,0.061615377,0.120333431,0.077889332,0.031044694,0.002863678,0.022414837,0.009864717,0.016445833,0.010635307,0.012840558,0.004094274,0.00522432
A375_Cra_F7_5/13,-1,0,0,0,0,0,100,24,8,0,1,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,0.801039662,0.797829097,0.782574615,0.783023321,0.657961717,0.478719345,0.314024783,0.265596606,0.208467375,0.216921103,0.078237079,0.082204502,0.010192093,0.064075201,0.013156773,0.052602328,0.01985597,0.008617759,0.016827822,0.025758938
A375_Cra_F7_5/13,0,-1,0,0,0,0,0,24,8,0,1,3.16228E-05,0.0001,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,1.004646126,0.978915536,0.986410929,0.873246363,0.548053404,0.265445982,0.108618233,0.082470605,0.078630223,0.101795481,0.09063035,0.038271273,0.090983946,0.053966397,0.011691874,0.003238677,0.015832878,0.022891794,0.004328959,0.00838327
A375_Cra_F7_5/13,0,-1,0,0,0,0,100,24,8,0,1,3.16228E-05,0.0001,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,0.965068693,1.004681391,1.021604771,0.929266002,0.72418228,0.45974573,0.334387119,0.319659254,0.264380091,0.243503063,0.020706214,0.009172485,0.067892454,0.034282994,4.02702E-05,0.048339595,0.007454801,0.007213272,0.036895372,0.009909836
A375_Cra_F7_5/13,0,0,-1,0,0,0,0,24,8,0,1,0.0001,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16,1.081055176,1.058647664,0.9628728,0.759563924,0.432731071,0.17422457,0.079166302,0.051288014,0.043194651,0.076273989,0.134220909,0.010457828,0.10775327,0.058841845,0.018793726,0.002164823,0.018987144,0.003599994,0.000184394,0.012499886
A375_Cra_F7_5/13,0,0,-1,0,0,0,100,24,8,0,1,0.0001,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16,1.064679346,0.99983064,0.909736718,0.754112581,0.465729013,0.237907498,0.130095881,0.06224918,0.037394362,0.037982651,0.142676741,0.103944966,0.116426335,0.077314934,0.066854322,0.059732391,0.005250263,0.007863406,0.002733346,0.009288373
A375_Cra_F7_5/13,0,0,0,-1,0,0,0,24,8,0,1,0.0001,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16,0.925279238,1.015263767,0.919666598,0.719745619,0.453020314,0.236776176,0.09629384,0.056312242,0.082321733,0.133032522,0.047920606,0.051900533,0.046915778,0.002089274,0.047137217,0.018959733,0.010973061,0.007212486,0.007869656,0.027852877
A375_Cra_F7_5/13,0,0,0,-1,0,0,100,24,8,0,1,0.0001,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16,0.867030178,0.859775384,0.932232192,0.79985146,0.597641129,0.382844509,0.271940066,0.238790848,0.233931069,0.269424395,0.062247597,0.020455356,0.057999913,0.014446177,0.012741181,0.034488,0.009958951,0.031124286,0.012114417,0.018764415
A375_Cra_F7_5/13,0,0,0,0,-1,0,0,24,8,0,1,3.16228E-05,0.0001,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,0.922234256,0.881281908,0.675079024,0.351306827,0.120235934,0.095186667,0.085592014,0.097058139,0.132885168,0.150250718,0.044185322,0.081826902,0.07432964,0.121047731,0.008132024,0.041844788,0.036453369,0.00652166,0.012961121,0.038638465
A375_Cra_F7_5/13,0,0,0,0,-1,0,100,24,8,0,1,3.16228E-05,0.0001,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,0.807410381,0.827749003,0.698304966,0.525831278,0.361400939,0.379508742,0.395068185,0.401635977,0.40002061,0.493934787,0.080678591,0.06792613,0.14265627,0.100043755,0.094682506,0.134746714,0.029375554,0.039922066,0.031310679,0.010811722
A375_Cra_F7_5/13,0,0,0,0,0,-1,0,24,8,0,1,3.16228E-05,0.0001,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,1.026396245,0.928824331,0.936297844,0.764075386,0.47482487,0.266526165,0.154327815,0.152760705,0.183970689,0.246979828,0.084085103,0.020485541,0.020792631,0.044569131,0.029734164,0.03484742,0.02133097,0.002978885,0.001923006,0.012228876
A375_Cra_F7_5/13,0,0,0,0,0,-1,100,24,8,0,1,3.16228E-05,0.0001,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,0.883676065,0.906529263,0.919270089,0.820000898,0.630184516,0.485323102,0.491984912,0.556017327,0.557780241,0.607428107,0.01704755,0.051195469,0.027174714,0.005748403,0.037514362,0.027369662,0.037718854,0.09079254,0.057898983,0.027571788
A375_Cra_F7_5/13,1,0,0,0,0,-1,0,24,8,0,1,3.16228E-05,0.0001,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,0.126290781,0.108630213,0.097462046,0.100777645,0.090403256,0.102572186,0.08405385,0.12654824,0.148319677,0.166180649,0.038821591,0.011126894,0.034778274,0.032998025,0.036148438,0.016712404,0.02086584,0.028472313,0.038112763,0.015708398
A375_Cra_F7_5/13,1,0,0,0,0,-1,100,24,8,0,1,3.16228E-05,0.0001,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,0.332816351,0.326694217,0.355686884,0.35298321,0.402297822,0.452301812,0.500975985,0.548558239,0.556147092,0.600109041,0.015680004,0.041631785,0.048408331,0.04235894,0.088017409,0.084272045,0.014546034,0.006919486,0.00174428,0.001598879
