,,,Mean RPM Vemurafenib dose-response 24 hrs,,,,,,,,,Std RPM Vemurafenib dose-response 24 hrs,,,,,,,
,,,Vemurafenib (uM),,,,,,,,,Vemurafenib (uM),,,,,,,
ENSG00000272498,AC090948.2,,0.45906,0.65559,0.7949,0.81769,0.88613,1.4892,0.99702,1.2644,,0.24992,0.16533,0.2473,0.49546,0.41802,0.79697,0.14398,0.36253
ENSG00000272529,AC090948.3,,0.3355,0.46823,0.64974,0.63053,0.76877,0.64118,0.60182,0.72224,,0.078248,0.30286,0.15189,0.33081,0.37315,0.13938,0.18217,0.092839
ENSG00000154822,PLCL2,,7.6074,7.284,7.4554,5.9108,4.4774,4.151,3.8515,4.3252,,0.59536,1.548,0.60048,0.97426,1.7208,0.87735,0.77565,0.94191
ENSG00000131374,TBC1D5,,108.5522,110.0508,133.4584,176.7577,213.1665,222.9593,228.253,238.7523,,5.2882,3.3664,2.7775,6.903,3.4896,6.5743,12.1479,16.7323
ENSG00000274840,AC132807.2,,0.29156,0.19921,0.21317,0.52022,0.18497,0.43173,0.31935,0.57384,,0.10856,0.20711,0.21802,0.18462,0.17845,0.14558,0.1607,0.27566
ENSG00000182568,SATB1,,15.7518,15.6928,22.9124,40.7536,58.0691,71.1934,72.5805,74.9246,,1.5182,1.1672,1.0971,4.6662,5.7885,4.1502,2.194,3.5164
ENSG00000228956,SATB1-AS1,,1.4223,1.3527,2.2164,1.9715,2.7512,2.5896,1.9628,3.1723,,0.19288,0.62586,0.59396,0.36353,0.12852,0.48862,0.39208,1.3766
ENSG00000183960,KCNH8,,0.89819,0.94405,1.2685,1.671,2.8439,5.0258,6.2852,6.8305,,0.14195,0.33843,0.25619,0.34348,0.62385,0.48081,0.76787,1.0696
ENSG00000163576,EFHB,,0.47937,0.60661,0.86647,1.0829,1.824,2.3013,2.424,1.3502,,0.13741,0.28992,0.22928,0.6552,0.29504,0.25564,0.73627,0.48536
ENSG00000144566,RAB5A,,76.5764,79.3556,79.561,93.7744,100.8502,100.2099,93.539,84.4959,,6.1434,7.6259,2.4228,4.9533,5.2476,3.5661,3.4732,3.8735
ENSG00000114166,KAT2B,,40.3374,43.63,79.097,218.5364,365.0517,433.6873,365.9743,145.9191,,1.9607,2.871,5.5592,32.4277,9.1377,7.6665,14.4237,10.218
ENSG00000129810,SGO1,,30.7184,32.5864,29.1013,17.0288,7.9297,4.0448,3.5926,5.1638,,2.6901,1.6838,1.4023,4.3132,2.4192,0.71985,0.39616,0.34355
ENSG00000231304,SGO1-AS1,,0.18212,0.15027,0.29086,0.44269,0.93354,0.94599,1.4103,0.79369,,0.094849,0.17387,0.19564,0.16658,0.35902,0.78934,0.54896,0.15667
ENSG00000151789,ZNF385D,,1.415,1.4494,1.9137,3.83,4.5272,3.6061,3.8344,3.0159,,0.26858,0.079041,0.61943,0.4178,1.1228,0.73538,0.6638,0.28504
ENSG00000225542,ZNF385D-AS1,,0.47511,0.32739,0.28572,0.67416,0.39689,0.39443,0.35584,0.44595,,0.25674,0.30251,0.27104,0.42084,0.26025,0.25045,0.13772,0.25665
ENSG00000132967,HMGB1P5,,9.1341,9.7578,8.2618,5.9893,3.4657,2.0433,2.3414,1.4652,,1.1161,1.3723,0.96694,1.2459,0.32717,0.44794,0.63146,0.27896
ENSG00000182247,UBE2E2,,12.0635,12.3061,10.994,11.8301,9.9952,11.941,10.285,13.0445,,1.1192,1.0155,1.5614,1.4506,1.2767,2.0978,0.82196,1.7001
ENSG00000223791,UBE2E1-AS1,,0.030238,0.055457,0.15589,0.086643,0.40724,0.47723,0.45098,0.42141,,0.060476,0.11091,0.11403,0.10897,0.30271,0.25358,0.19514,0.23769
ENSG00000170142,UBE2E1,,110.9732,113.9824,113.5053,126.6024,129.7555,129.6248,122.3849,111.3182,,12.5564,7.255,8.3371,6.3558,2.219,3.9737,4.4749,13.3265
ENSG00000197885,NKIRAS1,,32.9063,32.9663,30.8316,22.2028,18.8773,17.0802,16.1616,15.689,,4.7107,3.1326,2.2203,2.7441,1.1928,1.2535,2.1578,1.0497
ENSG00000174748,RPL15,,689.9522,669.3732,699.9664,778.4306,778.1484,785.2667,820.7189,888.4999,,40.751,23.9987,9.6285,24.1164,37.8133,17.2189,8.9323,17.2355
ENSG00000174738,NR1D2,,100.4322,100.4124,102.93,120.8081,141.5005,139.085,138.5643,140.6242,,11.135,10.0213,6.6621,8.3806,3.9846,4.2723,6.8205,5.2531
ENSG00000151090,THRB,,30.186,33.6252,38.0506,33.1971,26.0487,18.1597,16.7586,17.3317,,1.2349,2.4285,1.7899,1.7704,1.9872,1.2938,2.2904,1.378
ENSG00000228791,THRB-AS1,,0.29065,0.12635,0.30846,0.42662,0.71117,0.41518,0.26723,0.30248,,0.067143,0.15425,0.04555,0.29779,0.36594,0.27003,0.19554,0.10328
ENSG00000077092,RARB,,1.5706,1.7933,3.4923,8.4635,14.8856,20.0789,22.285,11.8361,,0.44568,0.40899,0.9753,2.4561,1.7311,1.2333,1.671,1.5053
ENSG00000077097,TOP2B,,267.3001,276.8687,295.4104,331.0346,321.4053,308.0359,317.2213,304.4302,,17.235,14.2731,7.3184,19.1012,21.6656,20.6867,13.4246,27.0121
ENSG00000151092,NGLY1,,38.6054,39.316,40.9975,43.4216,45.6514,46.7544,51.8247,65.4127,,3.209,1.2373,2.5628,4.2144,4.6899,1.2799,1.9474,2.5302
ENSG00000151093,OXSM,,17.3491,17.783,18.3919,19.7337,21.3948,23.2746,22.3234,26.3096,,1.5903,0.64047,1.8791,1.4083,0.81543,1.6366,0.90172,1.0154
ENSG00000163491,NEK10,,1.878,1.9519,1.584,1.566,1.9948,1.8001,1.7709,2.3631,,0.37647,0.42234,0.16442,0.71832,0.3471,0.3694,0.47913,0.86441
ENSG00000224237,MINOS1P3,,1.7845,1.68,1.473,1.3095,1.4843,0.96849,0.72213,1.2224,,0.29724,0.14482,0.47527,0.33391,0.23103,0.20589,0.22099,0.45377
ENSG00000033867,SLC4A7,,110.8652,115.0576,91.1781,66.7747,57.312,47.546,40.3168,37.1518,,11.2648,16.9466,8.809,3.9652,3.1715,2.4936,3.8908,2.4564
ENSG00000213846,AC098614.1,,8.1027,8.2164,7.6608,10.1208,11.7818,10.8419,9.5018,7.8667,,0.57719,0.34319,1.0046,1.9763,0.94605,0.92815,1.2474,1.6819
ENSG00000271943,AC098614.4,,0.49987,0.59012,0.52711,0.62361,0.83291,0.67293,0.67769,0.26106,,0.33331,0.15181,0.10207,0.58587,0.29057,0.27293,0.31457,0.10837
ENSG00000163508,EOMES,,1.0657,1.0172,1.003,1.3811,2.2648,2.2131,2.8352,6.8472,,0.29588,0.43609,0.20309,0.3579,0.56852,0.37673,1.1149,0.91277
ENSG00000235493,LINC01967,,0.43331,0.42843,0.44234,0.73419,0.94588,0.60811,0.69424,0.99794,,0.24461,0.10672,0.22919,0.34903,0.37569,0.14492,0.26754,0.19319
ENSG00000187118,CMC1,,21.7073,22.8175,22.7562,20.6655,19.2985,19.7297,19.9247,23.8405,,1.1426,2.1479,1.7914,1.0681,1.3515,1.6528,1.3154,3.3877
ENSG00000163512,AZI2,,61.4944,62.5429,67.6204,70.467,78.6872,79.1042,78.4581,81.812,,5.9749,3.2045,4.0423,2.8665,1.5465,6.1937,2.2187,2.8242
ENSG00000206559,ZCWPW2,,0.030238,0.026169,0.085731,0.31866,0.32955,0.36986,0.48223,0.47592,,0.060476,0.052338,0.10818,0.098543,0.12344,0.24225,0.2622,0.44384
ENSG00000144642,RBMS3,,11.8842,12.8872,24.1831,51.2062,71.2018,66.7783,52.8631,27.0417,,1.1542,1.3356,2.3149,2.7747,3.5767,5.5637,4.6719,1.9343
ENSG00000235904,RBMS3-AS3,,1.1424,1.0227,1.8896,2.8645,3.9727,4.384,3.1,1.3152,,0.32816,0.38392,0.56123,1.0564,0.39664,1.0187,0.28626,0.30173
ENSG00000163513,TGFBR2,,59.8276,56.7543,56.5938,83.871,120.0359,123.9491,106.7549,53.3878,,1.7331,2.276,2.3599,7.6618,5.1911,1.8191,6.2585,0.83758
ENSG00000261468,AC096921.2,,0.29156,0.36025,0.33153,0.52916,0.74165,1.2862,0.82661,0.19857,,0.10856,0.17835,0.18978,0.13002,0.1169,0.35067,0.28887,0.18004
ENSG00000163527,STT3B,,278.7602,284.3503,283.0057,263.3724,239.8217,220.644,211.693,223.2192,,14.3518,9.0806,12.3341,20.7274,13.6104,11.9218,3.9035,4.3555
ENSG00000144645,OSBPL10,,109.7402,110.7496,131.4635,167.0783,171.78,162.9013,135.8655,67.1206,,2.9353,2.4876,4.8713,10.5259,7.4993,8.4485,5.757,12.8074
ENSG00000197385,ZNF860,,11.1817,12.4801,14.5418,15.9439,16.0999,12.3293,9.9682,4.8552,,0.6447,2.2064,1.0663,2.5676,1.7787,0.86788,1.108,0.75046
ENSG00000152642,GPD1L,,48.3242,52.7026,54.2937,56.6562,49.4106,44.468,39.3045,39.8097,,4.1756,0.47241,3.0361,4.984,2.9598,3.5572,4.1748,2.0098
ENSG00000261572,AC097639.1,,0.91194,1.1844,1.333,1.3706,1.5851,1.7645,1.8059,2.2944,,0.19234,0.2058,0.46775,0.54953,0.48778,0.38512,0.81592,0.42945
ENSG00000170293,CMTM8,,7.0605,6.7102,6.4617,7.2013,9.1262,9.2071,9.058,7.339,,0.87214,0.5114,0.61686,0.48824,0.41111,0.70413,1.4887,0.34909
ENSG00000153551,CMTM7,,99.0457,94.9321,88.6072,73.0772,57.724,49.0264,36.6419,29.7539,,9.3116,5.8955,3.4673,3.7435,3.2034,1.2263,2.4708,0.84814
ENSG00000091317,CMTM6,,179.1126,176.3398,184.2899,203.2891,217.7181,205.2822,194.7105,166.6873,,13.6469,10.7715,11.1502,10.3572,10.6531,4.6852,2.9143,4.4279
ENSG00000144635,DYNC1LI1,,101.8324,106.5512,96.5159,76.4247,62.8537,57.3964,55.24,58.6951,,4.4153,2.2277,6.9821,3.5917,5.2003,3.1411,1.3623,1.7066
ENSG00000182973,CNOT10,,75.5715,78.3306,73.4156,64.8593,59.4684,58.431,59.3146,62.8203,,2.6318,2.5027,2.321,3.1937,3.7844,2.7463,1.8696,2.9662
ENSG00000213842,SUGT1P2,,0.12654,0.024147,0.035941,0.14865,0.15997,0.26334,0.16453,0.28948,,0.099377,0.048294,0.071882,0.14074,0.18355,0.19666,0.18179,0.21411
ENSG00000170266,GLB1,,54.9488,55.0937,61.7144,80.6658,92.4732,102.7892,102.7786,106.5425,,1.97,3.9998,2.3752,3.0393,1.693,5.1091,4.4141,2.4159
ENSG00000188167,TMPPE,,5.5682,5.2992,5.8197,5.7115,6.4166,5.7323,6.3077,5.7055,,0.58136,0.51586,0.76501,0.58988,0.42767,0.56282,1.4773,0.53393
ENSG00000170275,CRTAP,,315.064,312.4926,348.9966,417.4301,458.7474,498.7162,518.4512,591.6326,,14.1849,12.1535,14.1899,11.0314,12.2843,9.2738,10.5337,7.3801
ENSG00000272149,AC112211.1,,0.36914,0.37609,0.31927,0.46384,0.50199,0.47157,0.5754,0.66379,,0.13387,0.15396,0.32157,0.13483,0.17015,0.28689,0.23932,0.32555
ENSG00000173705,SUSD5,,25.02,26.6632,24.8933,24.014,21.3069,18.9282,15.7563,15.0496,,0.69493,1.9641,0.99566,2.7715,1.4608,1.4029,2.0675,2.6022
ENSG00000153558,FBXL2,,3.3148,3.8362,5.0583,7.0395,8.3619,8.5808,8.5765,7.2765,,0.41293,0.16301,1.3031,1.13,0.75518,0.6877,1.1144,1.1485
ENSG00000153560,UBP1,,191.5159,195.329,192.3321,175.8304,155.1316,147.4704,145.2938,159.9154,,12.3091,3.1385,3.2402,6.3172,0.8635,5.6225,3.8875,2.3387
ENSG00000163539,CLASP2,,88.4813,88.7905,91.9971,101.1147,110.8776,119.7354,117.3376,111.3721,,3.7857,3.3214,8.1151,6.5366,2.9388,4.5556,3.7879,4.1865
ENSG00000271324,AC112220.3,,0.31919,0.12364,0.43667,0.5629,0.36374,0.52759,0.50686,0.74564,,0.16132,0.11956,0.20128,0.11378,0.18228,0.13233,0.11886,0.31504
ENSG00000271643,AC112220.4,,2.0452,2.1777,2.2094,3.2374,2.3713,2.6491,2.8826,2.1093,,0.21433,0.34183,0.29453,0.88286,0.8474,0.51696,0.76274,0.21822
ENSG00000271020,AC112220.2,,1.3967,1.3709,1.3132,2.2509,1.7481,1.737,1.4122,1.9135,,0.21276,0.50652,0.14519,0.59502,0.19903,0.28795,0.49254,0.49219
ENSG00000170248,PDCD6IP,,185.3845,194.1494,193.8333,220.5935,231.4253,235.2006,243.6145,241.0396,,11.0855,1.9536,3.5906,8.4507,2.5968,5.7938,1.9697,6.8777
ENSG00000172995,ARPP21,,5.826,5.7273,6.1607,4.324,2.9051,1.8785,1.2042,0.36477,,0.34119,1.0555,1.4948,1.2575,0.48967,0.46962,0.4033,0.20189
ENSG00000144681,STAC,,10.5633,9.3862,7.2253,6.4692,6.0391,5.5786,6.3291,11.8621,,0.959,0.5403,1.7297,0.15283,0.59714,0.79879,0.28164,1.2774
ENSG00000168016,TRANK1,,13.8921,15.2906,21.2718,34.9131,42.327,41.4844,33.7023,29.3234,,0.82643,0.63681,1.6674,6.5596,3.013,1.4666,1.2574,2.8002
ENSG00000178567,EPM2AIP1,,57.0922,66.2622,75.8272,92.6501,102.2633,104.1889,102.0519,87.6241,,7.5967,5.7846,1.6026,3.0331,6.1173,3.1084,2.6043,3.1444
ENSG00000076242,MLH1,,81.86,82.4289,79.5362,68.4818,55.3246,48.2274,46.5513,59.2148,,2.9048,1.4148,3.0154,5.818,3.5183,2.5848,1.2198,1.3169
ENSG00000093167,LRRFIP2,,79.3114,80.6069,82.5363,81.6051,87.2086,89.7556,83.223,83.7257,,6.2788,1.8882,0.48276,3.5363,2.7665,4.3149,4.365,6.4948
ENSG00000224080,UBE2FP1,,2.3531,2.186,1.36,1.4461,0.95567,1.1678,0.87023,0.97455,,0.23101,0.60054,0.34356,0.34133,0.29121,0.24477,0.30997,0.687
ENSG00000271993,AC126118.1,,0.20247,0.17776,0.43186,0.4296,0.32249,0.43912,0.67377,0.6688,,0.1783,0.050682,0.28813,0.35213,0.13674,0.091658,0.27115,0.096863
ENSG00000270194,AC097359.2,,3.5831,4.1439,3.7656,4.0456,3.6416,3.1804,3.384,6.5173,,0.46506,0.22221,0.85086,0.36235,0.65021,0.55038,0.84142,1.3421
ENSG00000144674,GOLGA4,,271.0984,275.8242,274.2397,250.1465,221.336,219.5001,210.3753,216.4294,,25.0426,16.0564,6.4908,10.3847,14.0479,16.9509,12.7293,6.8807
ENSG00000230409,TCEA1P2,,0.20326,0.42976,0.26102,0.56455,0.28755,0.41588,0.38928,0.5228,,0.1051,0.079125,0.16954,0.079427,0.24482,0.18203,0.045696,0.20279
ENSG00000198590,C3orf35,,0.33663,0.35488,0.44814,0.12403,0.37942,0.33341,0.46515,0.55344,,0.38157,0.17246,0.1814,0.17041,0.11816,0.15418,0.26716,0.22264
ENSG00000144668,ITGA9,,41.5555,43.1268,52.3883,38.0721,11.4437,5.0765,2.9415,1.9383,,4.6274,2.5018,6.4212,12.1794,3.3873,1.3528,1.2878,0.22344
ENSG00000144677,CTDSPL,,30.6608,30.5419,25.8515,14.4873,7.7947,4.2193,3.434,6.0505,,0.756,1.9504,1.9969,3.0024,1.4199,0.95069,0.56156,0.69772
ENSG00000136059,VILL,,2.16,2.8375,3.1108,5.0417,6.5772,6.9048,7.227,8.0418,,0.47752,0.82527,0.47935,2.0709,0.651,0.58012,0.64882,0.57978
ENSG00000187091,PLCD1,,4.9629,4.3235,7.299,13.1859,18.7722,20.3574,22.9348,23.0711,,0.36892,0.97503,1.7453,2.1352,0.88629,1.7275,2.057,0.8729
ENSG00000008226,DLEC1,,0,0.026169,0.085731,0.36627,0.54659,1.3719,1.6289,1.5074,,0,0.052338,0.10818,0.13969,0.11765,0.48283,0.36999,0.59301
ENSG00000060971,ACAA1,,37.5887,38.6007,41.1373,51.4864,52.4552,60.0971,60.0706,57.5307,,3.037,1.6674,1.5872,3.973,3.801,3.2275,2.0719,3.2448
ENSG00000172936,MYD88,,47.8388,48.7249,51.9866,57.4888,57.2657,60.7965,59.2496,62.2323,,2.6027,2.9577,2.99,2.6109,2.9171,3.0476,4.4248,4.6765
ENSG00000172939,OXSR1,,134.5926,136.516,137.6079,117.7577,111.9868,104.1234,111.4121,126.6951,,4.8991,3.9376,2.2933,1.482,5.791,2.8152,1.8744,7.8085
ENSG00000144671,SLC22A14,,0.10212,0.20485,0.1471,0.15379,0.43485,0.59638,0.27041,1.1076,,0.14332,0.18595,0.10953,0.11998,0.23521,0.33816,0.20389,0.79949
ENSG00000093217,XYLB,,38.003,41.8734,38.3406,30.5032,21.1313,17.0547,17.3521,31.0596,,1.134,0.60726,1.6789,3.6686,0.34066,1.216,0.9563,5.0593
ENSG00000229589,ACVR2B-AS1,,0.91025,1.3806,1.6011,1.9047,2.0168,1.9447,1.7979,3.6739,,0.21121,0.73092,0.55254,0.11594,0.22187,0.2966,0.23433,0.21752
ENSG00000114739,ACVR2B,,26.7734,27.2111,26.7314,25.2242,26.6223,27.293,27.8739,33.8485,,1.9706,1.1535,3.6496,3.1185,0.92107,2.8208,1.1149,2.2979
ENSG00000157036,EXOG,,24.8389,25.477,27.2618,32.1527,33.3767,34.2063,32.5139,30.463,,1.2725,2.0895,1.3398,3.6475,5.5842,2.4794,2.0546,4.8242
ENSG00000168356,SCN11A,,0.05636,0.026169,0.15118,0.57151,0.41855,0.6659,0.77799,0.64607,,0.065425,0.052338,0.10886,0.26983,0.28526,0.377,0.51062,0.23202
ENSG00000114742,WDR48,,95.6107,99.3625,104.0472,112.104,109.0969,99.1748,106.6279,105.3012,,1.5579,5.3343,1.6363,4.8619,6.2394,5.3151,2.7925,4.9696
ENSG00000114745,GORASP1,,44.4862,44.0908,49.8906,59.716,74.3969,78.9598,77.2425,75.2091,,1.2213,1.8183,2.9212,3.9815,4.9704,7.3473,3.2808,2.9268
ENSG00000168026,TTC21A,,2.6734,2.9013,4.6266,7.2808,9.041,12.1178,10.6425,12.608,,0.57036,0.50923,0.97892,0.9897,1.8815,2.1567,1.1937,0.96861
ENSG00000144655,CSRNP1,,15.2875,16.2365,12.6156,9.529,10.6805,14.3692,17.0879,11.9961,,0.42818,0.81478,2.2057,1.6146,1.2099,1.3623,1.2643,2.4764
ENSG00000223668,EEF1A1P24,,0.14217,0.26054,0.32585,0.2249,0.33647,0.22143,0.49702,0.53455,,0.15492,0.25207,0.33042,0.16819,0.11617,0.18262,0.3038,0.17432
ENSG00000144659,SLC25A38,,52.5777,50.2281,49.7947,52.341,48.9453,49.9484,47.915,50.5754,,1.3845,3.9111,2.6753,1.2939,4.2624,2.5677,3.2973,0.56868
ENSG00000168028,RPSA,,1083.7279,1038.4904,1097.9911,1157.6347,1144.7189,1145.2913,1184.1684,1377.6482,,85.9123,56.2261,39.7113,43.2653,76.184,79.5205,17.8152,20.6331
ENSG00000280739,EIF1B-AS1,,0.2678,0.40831,0.55383,1.0673,1.8795,2.0214,1.9502,2.3053,,0.14775,0.16097,0.12007,0.31059,0.53681,0.71295,0.40537,0.24298
ENSG00000114784,EIF1B,,50.9458,53.3969,49.4579,45.236,37.7969,37.1936,38.8559,46.4224,,2.9914,1.6304,1.1868,3.2177,2.6339,1.6835,1.2252,1.1944
ENSG00000223797,ENTPD3-AS1,,2.455,2.1357,2.7026,3.5975,4.2778,4.207,4.0659,4.814,,0.71964,0.10317,0.70405,0.57698,0.68593,0.58737,0.46107,0.85478
ENSG00000188846,RPL14,,572.3193,579.6624,565.2598,572.7367,563.7056,553.6963,572.9165,685.9904,,12.698,2.7136,5.7438,19.8014,10.8953,1.1226,13.8412,25.3432
ENSG00000177873,ZNF619,,7.0681,8.1578,8.3748,11.8923,13.6836,14.3674,14.7058,13.6213,,0.62688,0.54229,1.9837,1.3632,0.75781,1.6144,1.9039,1.3768
ENSG00000177842,ZNF620,,1.4197,1.2352,1.3044,1.8694,1.2818,2.0937,1.5949,1.6098,,0.24516,0.53877,0.24383,0.29998,0.35559,0.48408,0.21,0.31564
ENSG00000172888,ZNF621,,56.1551,60.5923,66.13,76.918,84.8356,88.0114,87.0568,93.4551,,5.4784,2.3552,1.777,1.4921,3.9078,3.2802,3.3192,7.8973
ENSG00000234287,AC099560.2,,0.34296,0.23391,0.24162,0.34363,0.39957,0.46321,0.64223,0.56778,,0.27346,0.11098,0.15096,0.16595,0.23095,0.28696,0.37446,0.3289
ENSG00000168036,CTNNB1,,498.1428,502.6855,538.7703,554.151,511.8045,456.7006,413.6187,342.2371,,7.7935,18.0048,21.0238,10.7539,18.1533,13.6075,10.1744,7.7569
ENSG00000168038,ULK4,,12.3194,13.2499,13.5325,12.0854,11.0023,10.6,10.2722,12.4598,,0.90343,0.63451,0.60674,1.0222,1.4051,0.83966,0.6916,0.69735
ENSG00000182606,TRAK1,,40.6965,45.7713,59.6217,104.8633,168.4333,232.3717,259.1887,215.7735,,0.88871,2.9905,5.3586,14.2295,26.7798,20.4692,11.2773,9.8584
ENSG00000187094,CCK,,0.26199,0.47255,0.27079,0.22524,0.11085,0.070663,0.03021,0.11671,,0.21396,0.43071,0.21297,0.27011,0.011446,0.08546,0.060421,0.13697
ENSG00000114812,VIPR1,,16.0211,15.3851,18.7496,18.3022,13.9205,8.6248,6.7805,1.4426,,1.5939,2.3979,3.7379,2.5525,1.7248,0.97651,1.1798,0.64257
ENSG00000093183,SEC22C,,71.4388,72.6733,76.9739,75.7564,70.4008,66.9443,66.2389,74.7417,,2.8934,5.0237,3.9126,1.6564,3.6168,4.1663,3.1643,2.8974
ENSG00000008324,SS18L2,,27.7126,27.4173,26.8271,23.3448,19.6847,17.2882,17.729,20.5926,,1.5115,1.1852,3.0347,1.8384,0.76711,0.81306,2.1466,2.1925
ENSG00000114857,NKTR,,131.9875,151.4676,154.1012,154.8618,169.8995,177.2982,174.1046,163.1173,,10.6955,3.3145,6.5008,9.3949,35.0425,22.3464,12.9979,6.0632
ENSG00000230084,AC006059.1,,0.077506,0.10421,0.12307,0.31668,0.27638,0.4793,0.50489,0.61013,,0.093717,0.085669,0.097388,0.22381,0.24859,0.38452,0.052432,0.41745
ENSG00000114853,ZBTB47,,15.7354,14.8553,15.8459,15.4242,17.675,17.8351,19.7874,25.454,,2.0915,1.2249,1.7227,0.54989,1.7261,1.7805,0.81636,4.1157
ENSG00000244607,CCDC13,,0.10449,0.10352,0.27939,0.29271,0.49177,0.64983,0.57177,0.46936,,0.20897,0.090962,0.2218,0.3844,0.1819,0.25045,0.32805,0.059891
ENSG00000173811,CCDC13-AS1,,0.10042,0,0.2088,0.86035,1.1268,1.3066,1.8935,1.4069,,0.082845,0,0.16878,0.64322,0.28844,0.18559,0.46383,0.44324
ENSG00000181061,HIGD1A,,35.9608,36.6201,37.0942,30.9952,25.1761,22.8722,22.3,27.0304,,3.4274,5.2773,3.0003,1.8976,1.0559,0.97158,2.6496,4.2104
ENSG00000144647,POMGNT2,,24.2759,23.6535,21.2656,20.0534,18.2358,18.8944,17.7847,19.9977,,1.848,1.666,2.749,2.2662,1.4874,1.8,2.6985,1.9666
ENSG00000163788,SNRK,,33.7319,34.7055,37.5491,33.3684,33.2191,32.648,34.2141,35.2352,,3.165,2.6604,2.1222,1.9154,2.378,2.5541,1.652,3.5479
ENSG00000271941,AC104184.1,,0.12406,0.12611,0.31177,0.54486,0.47308,0.54701,0.51588,0.7619,,0.093416,0.045144,0.22807,0.27601,0.089953,0.22996,0.25084,0.53892
ENSG00000234617,SNRK-AS1,,0.079994,0.17239,0.14475,0.24622,0.45218,0.65788,0.98536,0.69556,,0.05443,0.12202,0.17526,0.17745,0.19186,0.29415,0.15181,0.24097
ENSG00000160746,ANO10,,31.4958,30.0247,31.6849,37.3421,43.2694,42.1281,42.7362,42.4507,,2.9846,1.7834,1.5401,1.5295,2.1257,1.1916,1.4951,1.5692
ENSG00000011198,ABHD5,,20.495,21.534,19.5867,18.0624,15.4388,14.9568,15.0195,15.131,,0.68012,1.0416,1.4904,0.87233,2.0312,1.8988,1.2991,1.5289
ENSG00000272121,AC006058.3,,0.57578,0.59907,0.75286,1.0018,0.80819,1.0857,0.92189,0.88326,,0.3763,0.30056,0.20536,0.18803,0.33625,0.39237,0.27671,0.15734
ENSG00000261786,AC006058.1,,19.5144,23.1526,27.7471,31.5378,36.3756,43.5187,38.6643,30.9389,,2.5561,1.8482,3.3988,1.6969,8.1786,4.8071,1.4629,2.642
ENSG00000179152,TCAIM,,42.4015,41.568,47.1808,56.3356,62.8966,68.2343,67.5623,68.9381,,5.2826,2.9124,2.9709,2.5217,4.7244,2.3819,1.7278,2.0015
ENSG00000185219,ZNF445,,41.2036,44.1724,49.3252,55.0046,56.3573,61.9859,61.4169,60.242,,3.625,4.6204,4.7576,4.1619,4.4898,2.8791,2.3357,6.4098
ENSG00000178917,ZNF852,,3.0527,3.0598,3.8167,3.3584,4.2341,3.6302,4.1519,4.9982,,0.16347,0.39837,0.75171,0.90256,0.63613,0.42894,0.98108,1.7357
ENSG00000144792,ZNF660,,0.91445,1.0116,1.122,0.90999,1.0352,1.6846,1.5309,1.6279,,0.31439,0.13136,0.50727,0.26464,0.40662,0.57539,0.24213,0.47184
ENSG00000214820,MPRIPP1,,0.62913,0.45482,0.65661,0.53264,0.62778,0.58947,0.58507,0.52347,,0.44014,0.17956,0.072595,0.12496,0.19401,0.35916,0.32147,0.22068
ENSG00000186448,ZNF197,,26.721,28.6433,31.0908,40.0098,39.9092,40.9773,45.0446,45.2564,,2.0696,2.4631,1.0409,3.227,1.3907,1.6813,3.2429,2.794
ENSG00000233509,ZNF197-AS1,,0.16502,0.12813,0.067801,0.37307,0.41464,0.32594,0.50668,0.48862,,0.15573,0.054593,0.078573,0.2835,0.13513,0.27788,0.27276,0.16578
ENSG00000169981,ZNF35,,17.024,16.036,17.2469,16.7625,16.5516,15.7482,16.4509,15.4049,,0.95953,2.1725,1.6074,0.85329,2.1842,0.3143,2.3512,1.9817
ENSG00000272077,AC124045.1,,1.5831,1.3064,1.801,1.5705,2.2136,2.235,2.9353,2.8295,,0.30552,0.50396,0.81555,0.32423,0.29665,0.33208,0.54011,0.22125
ENSG00000196653,ZNF502,,4.1494,4.3033,4.1426,4.9825,5.1759,3.7443,4.9393,5.5523,,0.33285,0.97716,0.42255,0.80597,1.0898,0.20895,1.0379,0.83084
ENSG00000186446,ZNF501,,1.3603,1.9901,2.5271,3.1016,3.5952,3.5805,4.0658,4.7114,,0.2431,0.44299,0.58175,0.37429,0.71048,0.41482,0.71042,1.1379
ENSG00000163807,KIAA1143,,37.1389,36.4759,39.9964,43.6219,44.8028,44.2958,44.0443,41.9525,,3.0237,1.949,2.233,3.4752,2.6924,2.8709,3.1419,3.068
ENSG00000163808,KIF15,,67.8977,70.9893,66.8503,42.5868,23.5148,9.8731,8.2828,9.9755,,5.933,3.8391,7.5979,3.9304,4.3895,2.5259,1.1901,3.0851
ENSG00000169964,TMEM42,,10.7343,11.7253,14.0789,23.0762,27.0673,31.971,36.2263,34.4623,,1.1571,0.65152,2.1731,1.6474,1.1311,2.3936,0.69754,1.593
ENSG00000163810,TGM4,,0.20896,0.22964,0.35825,0.16471,1.15,0.93012,0.89881,0.032932,,0.077976,0.10219,0.19258,0.13031,0.32177,0.31877,0.37719,0.065863
ENSG00000163812,ZDHHC3,,72.7151,70.8338,70.9927,66.7922,64.2491,64.6409,64.7114,64.5761,,4.8286,4.674,1.5898,2.9792,1.3995,1.4396,4.1536,3.0445
ENSG00000075914,EXOSC7,,30.2079,29.4134,28.0479,22.1798,17.7823,15.9755,15.3681,15.1274,,1.5406,2.042,1.0799,1.392,1.0372,2.3732,1.7317,4.0615
