Cell_Line,Vemurafenib,Dabrafenib,PLX8394,LY3009120,AZ_628,Cobimetinib,Trametinib,Selumetinib,Binimetinib,PD0325901,EGF,Time_Drug,Time_EGF,pERK,pMEK,Concentration (uM),Concentration (uM),Concentration (uM),Concentration (uM),Concentration (uM),Concentration (uM),Concentration (uM),Concentration (uM),Concentration (uM),Concentration (uM),Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Std,Std,Std,Std,Std,Std,Std,Std,Std,Std
A375,0,0,0,0,0,0,-1,0,0,0,100,24,0.0833,1,0,2.10819E-05,6.66667E-05,0.000210819,0.000666667,0.002108185,0.006666667,0.021081851,0.066666667,0.210818511,0.666666667,1.125417682,1.081908391,1.033289472,1.183969435,1.368176352,1.237775196,0.869657695,0.399577492,0.17503586,0.118232006,0.142678153,0.111426693,0.101724653,0.101333635,0.027699133,0.023542778,0.068298498,0.05252465,0.026082781,0.004510076
A375,0,0,0,0,0,0,0,-1,0,0,0,24,0.0833,1,0,0.000666667,0.002108185,0.006666667,0.021081851,0.066666667,0.210818511,0.666666667,2.108185107,6.666666667,21.06666667,1.045499445,0.945032401,0.813975806,0.429958704,0.180102413,0.122232711,0.108220034,0.106154897,0.112218207,0.102407703,0.069914116,0.064555838,0.029043819,0.010796041,0.00141065,0.00807034,0.00578355,0.00216158,0.019931942,0.004320943
A375,0,0,0,0,0,0,0,-1,0,0,100,24,0.0833,1,0,0.000666667,0.002108185,0.006666667,0.021081851,0.066666667,0.210818511,0.666666667,2.108185107,6.666666667,21.06666667,1.092796416,1.068936075,1.069896972,1.34092391,1.638729757,1.708767515,1.611603602,1.413654055,0.890997254,0.140931855,0.107284825,0.085611183,0.092395716,0.140443671,0.053478062,0.106259987,0.019278994,0.052061993,0.04889436,0.004253791
A375,0,0,0,0,0,0,0,0,-1,0,0,24,0.0833,1,0,0.000210819,0.000666667,0.002108185,0.006666667,0.021081851,0.066666667,0.210818511,0.666666667,2.108185107,6.666666667,1.047345579,0.975487266,0.933227416,0.70380386,0.359829194,0.164938541,0.121016741,0.11007736,0.103243907,0.11197326,0.06081584,0.035393134,0.006629005,0.060568647,0.06012735,0.007679548,0.00152866,0.001112864,0.00508579,0.009080683
A375,0,0,0,0,0,0,0,0,-1,0,100,24,0.0833,1,0,0.000210819,0.000666667,0.002108185,0.006666667,0.021081851,0.066666667,0.210818511,0.666666667,2.108185107,6.666666667,1.05127906,1.039875001,0.999729449,1.080325766,1.303226626,1.622266598,1.625843184,1.532303654,1.130983509,0.230411901,0.096407697,0.082500142,0.02855829,0.036970344,0.046728982,0.014653211,0.01926032,0.038728684,0.140286381,0.024250358
A375,0,0,0,0,0,0,0,0,0,-1,0,24,0.0833,1,0,6.66667E-05,0.000210819,0.000666667,0.002108185,0.006666667,0.021081851,0.066666667,0.210818511,0.666666667,2.106666667,0.996740281,0.906545705,0.705476889,0.358643974,0.155075675,0.118433949,0.108167586,0.10232297,0.101349326,0.101524794,0.043626849,0.063629165,0.052220346,0.042340054,0.007621918,0.002134271,0.008314412,0.005266128,0.004992303,0.006140923
A375,0,0,0,0,0,0,0,0,0,-1,100,24,0.0833,1,0,6.66667E-05,0.000210819,0.000666667,0.002108185,0.006666667,0.021081851,0.066666667,0.210818511,0.666666667,2.106666667,1.073077861,1.024021745,0.979105511,1.172496932,1.474906896,1.516727672,1.600776303,1.450696258,0.778762147,0.329042687,0.114313013,0.096549446,0.067799888,0.039017856,0.018264043,0.064690013,0.037924215,0.066768319,0.169289146,0.045018811
A375,1,0,0,0,0,-1,0,0,0,0,0,24,0.0833,1,0,2.10819E-05,6.66667E-05,0.000210819,0.000666667,0.002108185,0.006666667,0.021081851,0.066666667,0.210818511,0.666666667,0.131874866,0.13589005,0.126734286,0.124018987,0.119654322,0.111726287,0.103706093,0.100825481,0.101336881,0.101507453,0.006315099,0.005433791,0.004798214,0.00306556,0.003468753,0.007077979,0.006592945,0.005664704,0.004580185,0.006467478
A375,1,0,0,0,0,-1,0,0,0,0,100,24,0.0833,1,0,2.10819E-05,6.66667E-05,0.000210819,0.000666667,0.002108185,0.006666667,0.021081851,0.066666667,0.210818511,0.666666667,1.590524268,1.598964986,1.592514519,1.569599782,1.636481341,1.783194343,1.703003733,1.275808739,0.361976913,0.117480441,0.110231187,0.035532638,0.057202023,0.018182922,0.024055398,0.041882644,0.094908046,0.028374923,0.063149336,0.005545769
A375,0,0,0,1,0,-1,0,0,0,0,0,24,0.0833,1,0,2.10819E-05,6.66667E-05,0.000210819,0.000666667,0.002108185,0.006666667,0.021081851,0.066666667,0.210818511,0.666666667,0.110619885,0.110627118,0.110965637,0.109201997,0.106242721,0.103699057,0.102748738,0.10244863,0.105489274,0.105835128,0.003388914,0.004764024,0.007247825,0.00768807,0.004879529,0.006363759,0.005701755,0.005597248,0.002675519,0.003438419
