,,,Mean RPM EGF addition on Vemurafenib (1uM) 24hrs pretreatment ,,,,,,,,Std RPM EGF addition on Vemurafenib (1uM) 24hrs pretreatment,,,,,,
,,,Time (h),,,,,,,,Time (h),,,,,,
ENSG00000169972,PUSL1,,11.6323,11.6535,11.9105,11.6621,13.2012,12.6328,12.5193,,1.1139,1.3304,0.78508,1.1828,1.5939,1.5328,0.4922
ENSG00000127054,INTS11,,95.1977,86.8083,86.6479,86.8153,88.4793,94.1506,92.1043,,2.9335,2.0866,8.146,7.6708,6.9465,4.5948,7.7366
ENSG00000240731,AL139287.1,,3.0014,2.7202,2.9901,3.1775,2.7758,3.519,4.1262,,0.79152,0.18307,0.31627,0.55065,0.83208,0.58004,0.55729
ENSG00000224051,CPTP,,23.505,21.955,18.9901,20.0878,20.4566,21.915,22.9193,,1.9472,2.1428,2.4308,1.2815,2.5158,2.3694,1.8509
ENSG00000169962,TAS1R3,,1.7169,1.971,1.6243,1.5068,1.5751,1.9624,2.8154,,0.76616,0.44444,0.69099,0.84772,0.56544,0.70912,0.72328
ENSG00000107404,DVL1,,39.1471,41.8132,39.1106,41.357,42.3055,47.8939,39.3352,,2.6794,3.9466,2.3201,4.0963,2.2962,1.262,2.8544
ENSG00000162576,MXRA8,,0.60693,0.56142,0.62513,0.34473,0.65154,0.51127,0.47595,,0.3132,0.24617,0.52585,0.16097,0.30065,0.2224,0.17435
ENSG00000175756,AURKAIP1,,86.0909,83.7617,82.8537,83.1805,87.1235,85.7064,90.6833,,7.0079,1.3572,11.0222,7.3219,6.2039,3.3542,5.9244
ENSG00000221978,CCNL2,,462.4389,418.7862,419.636,401.1952,396.6674,418.6216,410.0538,,38.4623,42.7751,5.5975,23.3923,56.7383,17.0004,36.4048
ENSG00000224870,AL391244.1,,56.7109,48.3981,44.091,48.0145,51.1788,56.5572,61.7236,,5.3909,5.0699,5.2795,1.4512,2.6748,2.423,2.8214
ENSG00000242485,MRPL20,,81.4768,79.4409,83.2886,80.4518,85.3297,84.6884,93.734,,3.8404,2.6046,12.3059,4.8466,5.2159,6.1397,3.8589
ENSG00000272455,AL391244.3,,11.1009,10.4521,9.857,11.6274,12.4363,12.5879,11.2215,,1.4641,0.91515,1.0089,1.38,1.2627,2.5361,1.4663
ENSG00000235098,ANKRD65,,1.7941,1.7579,2.0047,1.7005,1.6679,1.9695,1.6224,,0.71512,0.52674,0.40926,0.6666,0.72994,0.75389,0.48816
ENSG00000225285,LINC01770,,3.9494,3.7694,3.3534,2.681,2.47,3.7483,3.7449,,0.58629,0.64594,0.54341,0.25524,0.75447,0.32699,0.86746
ENSG00000179403,VWA1,,10.9706,11.0297,9.1648,10.4374,12.231,12.1123,11.0854,,2.1867,1.8751,1.7054,0.83326,2.039,0.3253,1.5383
ENSG00000215915,ATAD3C,,0.42664,0.39421,0.30564,0.34875,0.50493,0.66012,0.49929,,0.22388,0.17197,0.35191,0.19746,0.16994,0.24219,0.44765
ENSG00000160072,ATAD3B,,20.7271,19.4951,20.2452,25.1354,28.5473,29.512,25.8506,,1.963,1.5859,2.4176,3.2349,4.0123,4.4777,2.6584
ENSG00000284740,AL645728.2,,0.67831,0.38863,0.64545,0.70225,0.83735,0.61938,0.53458,,0.13333,0.17637,0.54929,0.20212,0.33643,0.28475,0.29534
ENSG00000197785,ATAD3A,,25.652,26.5722,26.1908,25.3387,26.3171,27.7766,28.3443,,1.6161,2.1122,3.1613,2.3002,2.1611,4.3762,0.39358
ENSG00000205090,TMEM240,,0.82404,0.87262,0.64789,0.57786,0.50879,0.62403,1.0237,,0.58044,0.3653,0.31225,0.20251,0.089638,0.29791,0.50963
ENSG00000160075,SSU72,,99.4186,100.619,106.8558,104.295,104.2645,107.6146,106.2211,,5.633,3.3993,9.5314,5.6588,4.0497,3.7887,4.3627
ENSG00000215014,AL645728.1,,1.3803,1.169,0.97102,1.1542,1.3244,0.78898,1.3502,,0.38612,0.22412,0.18717,0.27699,0.41831,0.46324,0.54157
ENSG00000228594,FNDC10,,9.4543,9.7207,9.6767,10.8078,11.4105,10.9111,11.7559,,1.6139,2.2934,2.0346,0.99685,1.3188,1.6734,1.8716
ENSG00000272106,AL691432.2,,9.759,7.8826,9.5308,9.5505,9.6125,10.49,11.1397,,1.5437,0.97286,2.2269,0.84536,2.0761,1.2917,1.2984
ENSG00000197530,MIB2,,62.5686,59.7064,61.273,63.5106,59.1069,63.2621,60.0306,,4.3392,3.8683,5.6719,3.8311,2.1508,2.8358,4.5424
ENSG00000248333,CDK11B,,36.8122,38.123,38.9326,37.9113,37.8219,37.6366,37.7664,,1.7871,2.6404,3.9889,3.6592,2.8448,3.6032,3.6348
ENSG00000189339,SLC35E2B,,106.9419,100.3734,95.3973,93.5843,92.7322,96.1377,99.9834,,1.8626,2.0349,8.4677,2.7762,3.6277,7.8708,3.9019
ENSG00000008128,CDK11A,,5.2385,4.5103,4.877,3.8996,4.3046,4.9848,4.2798,,1.1611,0.50237,0.74492,0.19955,0.89566,1.1732,0.93715
ENSG00000268575,AL031282.2,,7.1253,6.0526,6.4063,6.0192,5.4939,6.7385,7.0856,,0.56691,1.0584,1.3366,0.59737,0.83063,1.3086,1.1655
ENSG00000215790,SLC35E2A,,5.217,5.0739,4.2772,4.4638,4.3555,5.0832,4.9554,,0.83507,0.87978,0.76906,1.5323,1.1209,0.81318,0.44118
ENSG00000008130,NADK,,53.1332,50.2569,50.7869,52.6885,51.004,50.3071,52.3691,,2.147,1.2396,6.8081,2.972,4.115,1.5563,4.0425
ENSG00000078369,GNB1,,284.5577,285.6183,293.4395,311.5282,312.5545,306.7806,273.7621,,2.233,9.3438,8.4692,11.0033,10.4908,12.4898,9.1972
ENSG00000231050,AL109917.1,,0.62256,0.41943,0.58539,0.5634,0.41596,0.61244,0.63034,,0.20045,0.066643,0.16419,0.19807,0.13031,0.16897,0.40762
ENSG00000169885,CALML6,,4.533,4.2283,3.9378,4.1202,4.2697,4.1202,3.6513,,0.30005,1.0711,0.38453,0.48122,0.44854,0.62632,1.4778
ENSG00000067606,PRKCZ,,18.1217,17.5183,18.2537,16.6379,16.4384,16.9883,17.2512,,1.3684,1.4487,1.728,1.9402,1.9621,1.6234,0.88883
ENSG00000182873,PRKCZ-AS1,,1.1151,0.86143,0.73085,0.62886,0.69429,0.53935,0.36098,,0.47359,0.44036,0.41998,0.077919,0.22754,0.11287,0.22512
ENSG00000162585,FAAP20,,37.8643,37.6297,39.2676,36.6556,35.211,36.0787,38.3532,,4.5526,1.3787,4.5304,1.1669,5.8519,4.2714,4.2421
ENSG00000157933,SKI,,81.3797,83.5275,101.1587,92.1636,82.7574,79.6077,74.464,,4.8044,6.0507,3.5949,1.8889,5.2957,5.6823,4.6598
ENSG00000116151,MORN1,,17.9681,15.9653,16.9699,16.8059,16.7679,15.4074,18.589,,1.4238,1.426,1.0711,0.8188,1.1847,2.36,1.3989
ENSG00000269896,AL513477.1,,3.0396,2.7658,2.5295,3.1551,2.091,1.8637,2.9214,,0.59707,0.61371,0.6556,0.68748,0.28472,0.35471,0.66751
ENSG00000272420,AL513477.2,,0.25279,0.55048,0.60866,0.40665,0.52802,0.68498,0.59501,,0.20597,0.38759,0.22616,0.17425,0.21681,0.21817,0.41955
ENSG00000157916,RER1,,224.6536,219.976,217.2413,212.1258,210.4423,215.5065,219.0795,,16.0738,8.8798,5.7573,3.938,3.1851,1.6281,11.4013
ENSG00000157911,PEX10,,20.6652,21.0514,20.4207,21.8952,22.3144,22.7847,22.2432,,2.0667,1.2224,3.0665,1.2487,2.1274,1.6529,1.4436
ENSG00000157881,PANK4,,7.7682,7.3626,7.8063,9.5392,8.2183,9.3337,8.7752,,1.1195,0.82616,0.36317,0.57822,1.0992,0.63457,0.95593
ENSG00000157873,TNFRSF14,,3.1901,3.2801,3.2382,2.5999,2.2073,2.6201,3.3957,,0.56106,0.60827,0.48191,0.72732,0.5295,0.65839,0.5031
ENSG00000157870,FAM213B,,1.7093,1.7847,1.6446,1.5635,1.7562,1.8436,1.6485,,0.63192,0.5793,0.47897,0.28458,0.2585,0.51713,0.33705
ENSG00000162591,MEGF6,,28.4829,30.008,24.7485,22.8293,21.5425,31.4035,26.6861,,4.6398,4.0245,1.1367,1.9428,2.7561,4.0477,8.57
ENSG00000238260,AL513320.1,,0.99126,0.23751,0.62906,0.4129,0.50836,0.49096,0.64739,,0.41076,0.16541,0.49339,0.19892,0.093834,0.25593,0.18212
ENSG00000158109,TPRG1L,,55.213,57.3678,52.7761,52.2652,54.7419,48.5333,54.5276,,4.7185,3.8869,2.5275,2.1496,2.5772,3.712,2.8806
ENSG00000116213,WRAP73,,48.7971,42.3828,45.8426,47.917,48.6525,53.0909,53.0332,,2.157,2.9273,5.3561,2.643,3.4846,4.5691,2.5314
ENSG00000078900,TP73,,1.6626,1.1409,1.2723,1.8099,2.8984,2.5723,1.6542,,0.68385,0.32366,0.095614,0.33683,0.83091,0.48246,0.64891
ENSG00000227372,TP73-AS1,,22.2725,22.5775,22.4547,19.735,19.811,20.7685,23.4502,,1.0846,3.1572,1.7609,1.8888,2.9445,0.65047,2.253
ENSG00000130764,LRRC47,,79.6461,79.9269,80.9331,82.3853,85.9479,89.2822,87.0716,,3.3924,4.4887,9.1343,3.3048,6.4265,5.9326,5.4286
ENSG00000116198,CEP104,,47.7794,50.9551,49.5698,44.3438,43.7298,48.6128,50.9064,,4.3314,2.375,2.2243,2.1112,2.0081,1.3572,2.4882
ENSG00000169598,DFFB,,13.5987,14.3983,13.0537,11.8373,13.5034,15.3565,15.5408,,0.91432,1.2475,0.86138,1.1744,1.3945,1.5756,1.3608
ENSG00000198912,C1orf174,,16.1369,13.5622,13.3492,13.5897,13.8079,14.4869,13.5844,,1.3925,0.88241,1.4346,0.7819,1.4884,1.0895,1.676
ENSG00000236423,LINC01134,,1.9397,2.0352,1.9381,1.7689,1.3083,1.8434,2.1151,,0.55144,0.42072,0.41527,0.1173,0.22099,0.99756,1.152
ENSG00000196581,AJAP1,,5.1449,4.6077,5.6115,12.1484,14.0527,14.5148,4.241,,0.85772,1.1618,0.92891,4.379,2.6207,2.495,1.1376
ENSG00000131697,NPHP4,,25.3824,23.5537,22.9185,24.0242,24.9068,23.8824,23.4071,,1.4323,0.82011,1.6204,2.7684,3.3825,2.4533,0.62703
ENSG00000069424,KCNAB2,,44.164,47.0525,43.8947,45.6342,42.0033,39.4049,37.7958,,0.55765,3.6496,2.9131,2.3143,3.352,2.7297,4.8146
ENSG00000116254,CHD5,,0.58689,0.72018,0.78167,0.35303,0.4509,0.43837,0.34899,,0.29414,0.42281,0.07746,0.14138,0.10306,0.14114,0.14006
ENSG00000116251,RPL22,,284.0945,273.3723,278.3733,268.425,280.8161,272.0447,283.7865,,12.9101,9.7756,6.7305,5.5308,10.5601,5.5015,6.981
ENSG00000226944,AL031847.1,,0.77104,0.33819,0.63076,0.53096,0.80569,0.62056,1.0753,,0.082011,0.26204,0.28725,0.40202,0.17678,0.43809,0.09299
ENSG00000158286,RNF207,,20.4769,15.9486,14.7443,16.7139,17.6813,21.7759,21.6111,,2.1407,2.4093,0.99995,2.0652,3.4671,0.68458,2.7247
ENSG00000116237,ICMT,,96.3834,97.1161,94.0653,99.1829,97.1519,102.5441,104.335,,1.8535,6.5009,6.7255,5.7084,0.77169,2.3586,3.1295
ENSG00000225077,LINC00337,,0.87755,0.48048,0.62072,0.72537,0.54772,0.41111,0.71158,,0.36664,0.29293,0.12939,0.37375,0.35841,0.1464,0.24366
ENSG00000158292,GPR153,,7.4269,8.1314,8.2782,12.0934,14.8645,13.9982,12.1271,,0.52947,1.4516,0.92646,2.147,1.1305,2.387,2.1057
ENSG00000097021,ACOT7,,52.6405,51.3055,51.4634,58.2266,58.6412,57.4613,55.9893,,2.9028,3.16,5.1377,2.2463,3.4705,3.9027,4.3348
ENSG00000069812,HES2,,0.66672,0.95651,1.3613,1.2091,1.1194,1.8403,0.79176,,0.13234,0.27445,0.44187,0.28949,0.39058,0.11007,0.30408
ENSG00000187017,ESPN,,27.0832,29.0972,26.9926,24.8371,26.3755,28.8304,25.6316,,2.6046,1.4832,1.7159,0.9966,1.6963,2.3581,2.9848
ENSG00000215788,TNFRSF25,,17.4865,18.758,17.767,16.5002,17.971,18.8526,16.7193,,3.6104,2.3631,2.1714,2.4174,3.1315,1.6824,2.6499
ENSG00000171680,PLEKHG5,,79.3121,77.3759,77.8475,75.8583,74.8619,78.458,72.7099,,3.3889,4.0658,5.8379,3.8543,8.5286,6.9972,6.5197
ENSG00000162408,NOL9,,36.3828,36.5781,36.0357,34.4546,32.0359,33.0224,38.9507,,2.9937,1.651,3.4311,3.6741,3.351,0.8045,1.2637
ENSG00000204859,ZBTB48,,21.5453,24.7471,20.6524,18.1,19.6618,22.9644,24.8357,,0.91325,1.8032,4.3522,0.99294,2.5751,1.9165,2.0653
ENSG00000162413,KLHL21,,217.7141,236.4469,217.352,233.5629,264.2599,264.0607,231.9402,,7.961,8.9664,24.7899,12.3665,21.5725,11.4634,6.765
ENSG00000116273,PHF13,,33.4394,30.0269,38.784,50.2726,34.3232,28.9712,28.5391,,1.5735,3.4296,4.1056,1.8936,1.5375,1.4218,4.1113
ENSG00000041988,THAP3,,15.196,13.6417,13.0669,13.7551,13.0118,13.862,15.4581,,2.7675,1.2537,2.3016,1.06,0.65621,2.0566,2.2651
ENSG00000007923,DNAJC11,,82.3914,79.8535,80.3843,83.5953,86.5495,90.4208,92.5051,,5.7672,1.3727,7.4061,2.8251,2.2042,4.3053,1.7106
ENSG00000237436,CAMTA1-DT,,0.91048,0.63747,0.74855,0.5123,0.64626,0.89579,0.89152,,0.49497,0.29741,0.23964,0.20338,0.22903,0.15511,0.46874
ENSG00000171735,CAMTA1,,22.6066,23.3257,24.613,23.7214,25.2358,23.8992,23.8249,,1.6815,2.7472,1.061,0.82164,2.8652,3.6058,2.2034
ENSG00000049245,VAMP3,,147.9968,146.0173,149.6413,145.9413,148.0224,146.5887,142.2539,,3.1443,6.1158,4.9782,9.9842,6.2272,3.1214,11.1367
ENSG00000269925,Z98884.2,,0.8426,0.86025,0.64425,0.3342,0.64255,0.60616,0.65175,,0.16172,0.37278,0.25256,0.28908,0.131,0.26369,0.42308
ENSG00000049246,PER3,,11.942,13.2236,11.228,10.7142,9.2883,7.966,7.4663,,0.82749,1.9049,1.0811,2.0859,1.0976,1.6744,1.1823
ENSG00000049247,UTS2,,0.030908,0.23529,0.26045,0.060797,0.26167,0.16214,0.14883,,0.061816,0.2088,0.10878,0.12159,0.18079,0.15577,0.22239
ENSG00000049249,TNFRSF9,,1.9851,1.7947,2.2598,2.1502,1.7689,2.535,1.876,,0.49754,0.52856,0.48793,0.16936,0.23018,0.1653,0.74088
ENSG00000116288,PARK7,,189.2434,185.6794,193.9225,194.6978,194.3184,199.0493,205.3283,,4.1836,8.8573,18.468,13.9398,7.6205,13.2813,11.4647
ENSG00000284747,AL034417.4,,0.94912,0.84549,0.8826,0.88726,0.50507,0.55604,0.67822,,0.59931,0.25297,0.074032,0.61171,0.20003,0.23009,0.38773
ENSG00000116285,ERRFI1,,58.5944,126.8338,178.1614,85.1729,48.4676,54.7448,51.2232,,9.1969,32.4921,24.5041,1.4702,2.2147,5.0721,5.3213
ENSG00000162426,SLC45A1,,2.3819,3.0714,2.7385,2.8925,2.9492,2.892,2.1807,,0.93853,1.0517,0.56585,0.21579,0.49084,0.41726,0.57853
ENSG00000142599,RERE,,185.1875,185.4276,173.8158,164.9576,150.6976,146.9179,175.7265,,7.8491,14.0094,4.7423,3.4266,7.3687,6.5311,11.6276
ENSG00000074800,ENO1,,1054.675,1072.5862,1071.1743,1161.4788,1184.6956,1198.4345,1253.564,,54.867,66.4624,96.0341,22.0537,41.4284,35.1098,16.1508
ENSG00000236269,,,0.41339,0.20699,0.51107,0.30744,0.3368,0.29211,0.22451,,0.16976,0.10584,0.39563,0.2503,0.32402,0.28285,0.15552
