,fval,BRAF_0,CBL_0,CRAF_0,DUSP_eq,EGFR_eq,ERK_0,GRB2_0,MEK_0,RAS_0,SOS1_0,SPRY_eq,bind_AZ_628_RAF_kD,bind_AZ_628_RAF_kf,bind_AZ_628_RAF_phi,bind_Binimetinib_MEK_kD,bind_Binimetinib_MEK_kf,bind_Binimetinib_MEK_phi,bind_CBL_GRB2_kD,bind_CBL_GRB2_kf,bind_CBL_GRB2_phi,bind_Cobimetinib_MEK_kD,bind_Cobimetinib_MEK_kf,bind_Cobimetinib_MEK_phi,bind_DUSP_ERKphosphop_kD,bind_DUSP_ERKphosphop_kf,bind_Dabrafenib_RAF_kD,bind_Dabrafenib_RAF_kf,bind_Dabrafenib_RAF_phi,bind_EGFR_EGFR_kD,bind_EGFR_EGFR_kf,bind_EGFR_EGFR_phi,bind_EGF_EGFR_kD,bind_EGF_EGFR_kf,bind_EGF_EGFR_phi,bind_GRB2_SOS1_kD,bind_GRB2_SOS1_kf,bind_GRB2_SOS1_phi,bind_LY3009120_RAF_kD,bind_LY3009120_RAF_kf,bind_LY3009120_RAF_phi,bind_MEK_ERKphosphou_kD,bind_MEK_ERKphosphou_kf,bind_PD0325901_MEK_kD,bind_PD0325901_MEK_kf,bind_PD0325901_MEK_phi,bind_PLX8394_RAF_kD,bind_PLX8394_RAF_kf,bind_PLX8394_RAF_phi,bind_RAF_MEKphosphou_kD,bind_RAF_MEKphosphou_kf,bind_RAF_MEKphosphou_phi,bind_RAF_RAF_kD,bind_RAF_RAF_kf,bind_RAF_RAF_phi,bind_RASstategtp_RAF_kD,bind_RASstategtp_RAF_kf,bind_RASstategtp_RAF_phi,bind_SOS1_RAS_kD,bind_SOS1_RAS_kf,bind_SPRY_GRB2_kD,bind_SPRY_GRB2_kf,bind_SPRY_GRB2_phi,bind_Selumetinib_MEK_kD,bind_Selumetinib_MEK_kf,bind_Selumetinib_MEK_phi,bind_Trametinib_MEK_kD,bind_Trametinib_MEK_kf,bind_Trametinib_MEK_phi,bind_Vemurafenib_RAF_kD,bind_Vemurafenib_RAF_kf,bind_Vemurafenib_RAF_phi,bind_pEGFR_GRB2_kD,bind_pEGFR_GRB2_kf,bind_pEGFR_GRB2_phi,catalyze_CBL_EGFR_ub_kcat,catalyze_DUSP_ERK_u_kcatr,catalyze_EGFR_EGFR_p_kcat,catalyze_EGFR_deg_kM,catalyze_EGFR_deg_kcat,catalyze_EGFR_dub_kcatr,catalyze_EGFR_endo_kcat,catalyze_EGFR_recycl_kcat,catalyze_EGFR_u_kcatr,catalyze_ERKphosphop_SOS1_pS1134_kbase,catalyze_ERKphosphop_SOS1_pS1134_kcat,catalyze_MEKmekiNone_phosphop_ERK_p_kcat,catalyze_NF1_RAS_gdp_kcatr,catalyze_PP2A_MEK_u_kcatr,catalyze_RAF_RAFrafiNone_MEK_p_kcat,catalyze_RAFrafiNone_MEKmekiNone_p_kcat,catalyze_RAFrafiNone_MEKmeki_Binimetinib_p_kcatr,catalyze_RAFrafiNone_MEKmeki_Cobimetinib_p_kcatr,catalyze_RAFrafiNone_MEKmeki_PD0325901_p_kcatr,catalyze_RAFrafiNone_MEKmeki_Selumetinib_p_kcatr,catalyze_RAFrafiNone_MEKmeki_Trametinib_p_kcatr,catalyze_SOS1_RAS_gtp_kcat,catalyze_phosphatase_SOS1_uS1134_kcatr,ep_EGFR_EGFR_mod_EGF_single_deltaG,ep_MEKphosphop_Binimetinib_deltaG,ep_MEKphosphop_Cobimetinib_deltaG,ep_MEKphosphop_PD0325901_deltaG,ep_MEKphosphop_Selumetinib_deltaG,ep_MEKphosphop_Trametinib_deltaG,ep_RAF_RAF_mod_Dabrafenib_double_deltaG,ep_RAF_RAF_mod_Dabrafenib_single_deltaG,ep_RAF_RAF_mod_PLX8394_double_deltaG,ep_RAF_RAF_mod_PLX8394_single_deltaG,ep_RAF_RAF_mod_RASstategtp_double_deltaG,ep_RAF_RAF_mod_Vemurafenib_double_deltaG,ep_RAF_RAF_mod_Vemurafenib_single_deltaG,ep_SOS1S1134p_GRB2_deltaG,mDUSP_eq,mEGFR_eq,mSPRY_eq,msynthesize_ERKphosphop_DUSP_kdeg,msynthesize_ERKphosphop_EGFR_kdeg,msynthesize_ERKphosphop_SPRY_kdeg,pERK_IF_offset,pERK_IF_scale,pMEK_IF_offset,pMEK_IF_scale,psynthesize_ERKphosphop_DUSP_kdeg,psynthesize_ERKphosphop_EGFR_kdeg,psynthesize_ERKphosphop_SPRY_kdeg,synthesize_ERKphosphop_DUSP_ERK_gexpslope,synthesize_ERKphosphop_DUSP_ERK_kM,synthesize_ERKphosphop_EGFR_ERK_gexpslope,synthesize_ERKphosphop_EGFR_ERK_kM,synthesize_ERKphosphop_SPRY_ERK_gexpslope,synthesize_ERKphosphop_SPRY_ERK_kM
44,-191.28535779773637,598.9080768627546,13139.65941840655,6724.1264203221735,974.1855361176636,6022.325276746389,134759.3023632088,22854.957685940997,60051.628802028405,89085.97293207081,4269.823909520664,13757.243041203084,0.020976410483291692,9999.862453405938,0.0,0.01015895024386662,9.12873279240911,0.0,0.00018069070059685053,8297.686639768395,0.0,0.006580055724005428,859.259772531231,0.0,0.005784257657170751,1078.2575264534105,0.001064706096387905,7356.797409963558,0.0,0.00010118692530015704,102.52227046927236,0.0,0.00010079001617200018,36395.96998781696,0.0,0.0073919077438050085,9999999.99999908,0.0,0.002707587929451539,4197.2137640303,0.0,0.00032854353941265163,9237377.124932894,0.0017208392716909547,79.09647227715989,0.0,0.0029995282850742576,536.7332967505885,0.0,0.0013419926164528165,8027.452895870543,0.0,536.7588853356659,1197.037903818695,0.0,0.0004288640265864243,9033751.660967581,0.0,0.00013883883437662838,2893640.770089233,0.0003688577169104647,2623.891757876113,0.0,0.009432553422906685,3.9341146500997954,0.0,0.001394940247951615,9999.047834955476,0.0,0.010110843378729594,371.32081815121285,0.0,0.04419645308604794,2648313.4819155997,0.0,99768.50343783692,0.9999523530102984,21449.061971289586,6.654469758953761,4.601960919860529,0.953510132463709,12.637474739149203,51981.84852952401,0.0608142364215959,9.967589054335845,31127.24160172459,322.59773102342047,0.016243340431595765,0.0014249597613567022,9111.03129690004,200.17719972880184,0.26422982583394183,0.007704488375639368,0.0661103815651673,0.26714432363327156,0.010384207019669807,6646.955150557649,0.04228535718236397,0.02095065911831946,3.511935526305726,5.112089489092517,75.89166253305177,11.846205189322605,6.6238273677999295,1861.0137572101198,0.005503436206655812,99999.5369062054,1.0,1.000058829635244e-10,86231.47617505582,0.009920700399064787,77.48328096199766,32.28618177932833,10.688035828304574,14.243142369399571,1.1866511034036458,0.2946320264083616,1.1484849783209534,0.04554354731099038,1.6828618042939363,0.19292296117646965,7.50088336037533,0.9992864641451042,0.0038563350321484803,0.08966835992623867,63.85844666850649,0.25917281986285345,226.05322146438996,0.003999508034568932,10810.705185988916,4.289162904768672
45,-190.86574710211065,567.3634900121925,16849.008266884844,7473.297248099695,1868.885393486606,12946.49661702716,139908.16035335435,23961.58862020393,59195.34555798788,98875.9679860243,3838.8835942576125,18421.092091957842,0.018171532986614346,9044.294509835296,0.0,0.009894119702619426,8322.836981297452,0.0,0.11886459366311822,717325.5045395162,0.0,0.002898230549679354,2678.8503069576095,0.0,7.975070805434779e-05,6575.028662041611,0.0016493062669723643,9999.988685444587,0.0,0.0020347027948585217,1983528.4586608838,0.0,0.0001576326280831382,14549.44195438392,0.0,0.010879795937350535,181501.95032105618,0.0,0.0033421751652668156,9510.135164351757,0.0,0.0026269362203093535,461342.6979883212,0.0020872987445184747,886.3778768621709,0.0,0.0038951994416101176,11.53953813099707,0.0,0.00027524865492954605,5906.647581275821,0.0,0.6199278582071781,93.9290825600101,0.0,0.001778533747611849,574133.3048314914,0.0,0.016423351893839335,301086.65986607125,0.0016932328338781523,4327.053942862979,0.0,0.015907762217186077,9.053956105239614,0.0,0.0011070192305294155,7121.572142600408,0.0,0.023118938128041253,9978.762614998903,0.0,0.026150614911341012,2423468.732322658,0.0,3427.736503325685,0.01915298939894616,1243.3980485727266,0.09108055324228584,244.22349280719237,0.00011486833208889222,577.772710719697,589.1026360591993,0.0005645007621021507,5.2973275166836435,583.2521066046253,4017.6661014710344,0.031038021723679005,0.0008937379406186437,47898.23436074125,37.07272366824723,0.18377561628099942,0.02892754076026587,0.0885099403768029,0.2526479739454178,1.0084366742293674e-06,5541.608449654546,0.03593068993081763,3.9859428184619216e-05,20.42383891935153,4.9139755769881575,34.80511075213552,20.723584099132957,3.1168436731887943,258.3225985470212,0.006285800220148602,60541.256237327994,1.0,1.920942097939712e-10,1.1356498315255978,0.030998050420745868,55.45979443932594,62.901119014595,26.737478972501,20.6373820872673,0.9661186405384243,0.2920239984705571,1.0913873370587825,0.0881409752161083,1.5599950587861653,0.19380999472792226,98.68139558806584,0.9997449520657711,0.1572733340970784,0.3418567361234425,32.77132507891529,0.34296692653310684,3.3328890570838006,0.0730449057551121,389.74138850070875,0.6721332382810844
46,-190.83935680387188,663.2478448551129,8558.965272124968,6933.49566358923,2098.1663545778347,4500.798619921144,92661.38931068341,25030.546212885594,66186.63351455689,86811.28126175082,3657.3588690842184,27147.33559561574,0.01501628989849419,9895.605958594495,0.0,0.006267018170137007,7.829801611626196,0.0,0.00010704073123688745,101.12410610513717,0.0,0.019053678847616932,428.25916090928007,0.0,7.059603451674065e-06,141298.40679404238,0.0008132053607961412,8808.45097638775,0.0,0.006629614585412383,465654.0944657456,0.0,0.000314358328580598,115360.54269050328,0.0,0.07603230595215223,10480.14943738135,0.0,0.0020848376883447956,5451.979472711067,0.0,0.007783069951490029,15248.707217021314,0.0003842529997537313,51.584067152468606,0.0,0.001986776282921866,453.1302464902498,0.0,0.00029781410972550454,9983.075711686655,0.0,1294.3504136134416,9589.337210815473,0.0,0.0006237437624545445,1207366.5086721336,0.0,0.000607584002334639,3586236.170229208,0.016155286734998466,7865.094733396894,0.0,0.0014728242826147703,3.5975734240557817,0.0,0.002532717439925686,8019.904447859661,0.0,0.01465600313250367,346.856446796993,0.0,0.004425340321589963,9624618.540415002,0.0,34121.5404131821,0.1190468367458043,8591.574940209197,0.03395181409236498,128.92507656177105,0.0002469146742635322,44.2295482456518,93.726406963587,0.00024288933408871084,2.8618224101660594,218.55719628621642,7828.259986369937,0.03611124792941997,0.006263834165392009,758.8917886647152,410.7459891026723,0.15916989461025102,6.801971848509995e-05,0.045503858747342245,0.15545871376444265,1.0031894580779745e-06,8497.0869419972,0.011311478394745444,0.007469065649336204,8.924616536542251,0.7271686890122527,198.90215662285422,68.12699653870972,1.0868896221765798,57392.915795030596,0.00011207713681155123,99988.13282716199,1.0,1.0317106059929422e-10,88324.17555231627,0.043337142959323775,0.3498008766121547,64.31558765681135,9.998619272613562,31.320705536523253,1.0556850071015176,0.17498031222557378,1.0944395843245611,0.11972303236518045,1.8135855042122777,0.21078756001718338,1.8669052056848192,0.9992237114319918,0.3041877470567173,0.19883060726509547,37.837296858359075,0.1954253168839491,28.815231076330043,0.8505700726407928,432.56925622058225,0.3462524477902576
47,-190.4620587463609,605.9964282124249,16836.117745623458,7344.953126663185,1209.6950644359572,4810.187716547931,94289.62358740956,25339.292848242374,105604.32177976202,86754.09085680338,3331.339382950099,26347.855721635206,0.011639131543796349,9992.200272548256,0.0,0.007779631562469527,9.777575878877451,0.0,0.05998442979571796,6650574.188838883,0.0,0.011519589775798408,500.8552239626029,0.0,2.5205013202875276e-05,4715.988723518426,0.000697123780964105,8614.219347421618,0.0,0.0001787857362515295,2475509.9336122824,0.0,0.00011425634888454426,32015.542573263607,0.0,0.0004288110283427997,489045.7499709054,0.0,0.00221471666836335,9261.261500534858,0.0,0.9758548381685401,2106852.0312825306,0.0019885023805971984,45.83651409006587,0.0,0.0016487361565371754,906.222624698849,0.0,0.00013161698524471918,6655.069862233881,0.0,381.8532206826712,4055.295422177281,0.0,0.0010206937364299813,6878871.2047966495,0.0,0.0002148488906664621,1906153.2406472373,0.0015246482049175042,5810.587723950951,0.0,0.011805827569744496,4.044031926829855,0.0,0.00014351483827719586,1005.9116287283996,0.0,0.012400730146347754,397.0626076412484,0.0,0.04131627138660574,1660095.770306209,0.0,3454.1968751659447,0.051634025619708916,82391.0244552072,0.05567192638842335,25.241876054943766,0.00012728839318667168,2090.2508883226474,57.97021598637222,0.03889675879863917,9.743502441362153,3340.4156569291918,1693.4180820665085,0.13608855311295479,0.0016272447641534696,7713.588192442789,355.37675296472224,0.31371641403773387,0.011339485021008644,0.06700594658033392,0.2910575826353092,0.12322482341687947,6469.516994352735,0.015407023813130093,4.894525099482179e-05,1.9781257746334382,2.1282850643087716,35.17070776655081,0.3138524732379191,107.7717305545783,1623.2360772334405,0.0067782964092193,99995.94159458154,1.0,1.000088254479903e-10,2519.0865545446063,0.013291297269772417,13.021175294998358,37.504385566049045,10.760725849777568,30.941303873155082,0.4514792211535525,0.1866894263268634,1.0501486009643501,0.038305853436818714,1.5299501895892085,0.18771616123581678,5.2639839774829005,0.8122950661898075,0.2842124968797525,0.1590419272511943,471.0342684521279,4.311196130366427,187.5444971837486,6.710945445204251,1335.4625017967262,1.2084931616849441
48,-188.9470715680153,563.4976430303549,16518.592190611613,7067.69997712566,2179.93203339555,10379.111201684858,116178.94598029192,23390.84856980474,61051.762758963356,73306.66352024963,3485.134569151457,26974.192768798162,0.018300165785647273,9997.363654497534,0.0,0.014002993680701951,9933.307957644687,0.0,0.08985995020367997,2734.5014979937578,0.0,0.002698493036024268,2160.6234474760918,0.0,6.537953724243545e-05,10840.49128771595,0.0013412633915499525,1626.1565557377626,0.0,0.07128345805736305,59780.917407434055,0.0,0.0028797700754675175,3864510.4636716894,0.0,0.002424113955344769,80062.69396645024,0.0,0.00317487759193746,9997.63346912038,0.0,0.0002883233308759027,2895490.5823017005,0.0014878929484892088,9997.302272487763,0.0,0.0032172773533349023,136.93538171513666,0.0,0.0011838536768004344,8695.969881464163,0.0,65.12285556914854,257.99476745540824,0.0,0.00017542950437408853,4069872.983006125,0.0,0.0004750161264068396,9197353.352839328,0.00866815497546308,6365.804548220062,0.0,0.013561117326164687,3.7449594534831223,0.0,0.0006584603421200896,9997.146272798725,0.0,0.01653844162182584,237.7775492422052,0.0,0.3501551805410395,916960.0352978352,0.0,69548.63547070026,0.1568660568023171,7254.55841857886,0.1752544691889195,82.82339865851304,0.0027134706805639034,464.8524400526235,2110.96110404037,0.06256481345596819,8.634335123102751,382.81884319543434,1654.2591546202343,0.03605418102963771,0.017734115779613126,407.0277534418804,42.92007242790093,0.1385100491589217,1.0934533693813503e-05,0.035253546834504615,0.37537758998834353,1.0402972723645366e-06,7224.719356724792,0.039874404553428944,0.00045024463786461663,25.231497539960923,9.949265718038424,74.82416020095766,0.33587837494720035,9.838514518025448,98362.88393472965,0.09915456672700496,99999.78545715495,1.0,1.0000145543321416e-10,99643.89629736499,0.11033192036046043,21.22345082370042,72.12384971788161,21.528099135620238,30.281993028687694,0.9666590353601232,0.5330846675237015,0.9878550833795974,0.07547568974750946,1.6363716489451745,0.22512927063161667,15.37847496294796,0.9904972495583961,0.3503158099020023,0.19907007261160595,132.0408996152057,1.74001997035954,3.4644127336485506,0.06647623809746077,984.6703247852238,1.4762371752777819
49,-188.36382274924,608.8631712429836,16837.653056330753,6708.327535355125,1252.6637252013043,5617.4918919933025,135074.03533610931,25968.974219883425,59231.1317291484,99755.7649438523,3770.964256355471,10923.789705946881,0.017771521598591702,9997.800239801807,0.0,0.019818355240689017,23.469909829493385,0.0,0.022666652622128542,2591.6015869075154,0.0,0.013047152618975447,816.0755315957773,0.0,0.009281300345746783,1763.7401705597722,0.0011377008275413336,9900.016192187164,0.0,0.21384662505081575,208499.8425264293,0.0,0.6283246602828383,333358.2983341807,0.0,0.0013162410519240418,3741131.877343729,0.0,0.003101389242034611,9999.908064799974,0.0,1.3199807592400458e-05,3393434.598876123,0.0030933351446776943,5614.520584278959,0.0,0.0033251037116813213,9999.99999999908,0.0,0.00010124084261087203,9867.027672659684,0.0,122.18310889112031,7764.724752779998,0.0,0.00013486058173287513,9492458.619185956,0.0,0.00011228450352863946,437741.3892571997,0.00010253519466310674,6487.84567965763,0.0,0.014358267420594373,9999.18117480846,0.0,0.0055376403212836645,2438.5026227884373,0.0,0.014837727625719587,567.7214488469234,0.0,0.0479874048676438,447685.3550586519,0.0,4128.254532713984,0.17780342838586038,1028.3483620006077,0.1488208586988648,630.718989041948,0.00013767387779920284,244.7213061648945,1353.7151466997623,0.00020843920375794133,8.370116112545956,248.0127774957427,545.2306196984999,0.06698609926309369,0.0011012366230173716,55666.33428140203,345.0116485937841,0.19597029379795036,0.013343220628631315,0.10539246770119431,0.21286236802410846,1.0087933824634313e-06,2047.7189961832623,0.051885809943455104,0.00010581398777704957,2.924389725362687,0.39922662560905847,14.127368136300822,21.409418273022187,0.011770236242614961,99988.36160566249,0.0008035291290022083,99980.79788779633,1.0,1.0512269700835117e-10,23306.151254072236,0.998082710211091,18.93352099342359,41.14345226689023,9.637782710558204,12.648761175927586,1.2918533557871825,9.909243918273113,1.1537568550413233,0.06587316488591657,1.681080635056794,0.17962299308253793,19.60376731286252,0.9989196618797891,0.095091598246817,0.25141059628243395,40.70192529560188,0.1491815433674078,332.4324718608895,0.0023079853566025745,1386.1736108525263,1.1307999238252469
