,fval,BRAF_0,CBL_0,CRAF_0,DUSP_eq,EGFR_eq,ERK_0,GRB2_0,MEK_0,RAS_0,SOS1_0,SPRY_eq,bind_AZ_628_RAF_dG,bind_AZ_628_RAF_kf,bind_AZ_628_RAF_phi,bind_Binimetinib_MEK_dG,bind_Binimetinib_MEK_kf,bind_Binimetinib_MEK_phi,bind_CBL_GRB2_dG,bind_CBL_GRB2_kf,bind_CBL_GRB2_phi,bind_Cobimetinib_MEK_dG,bind_Cobimetinib_MEK_kf,bind_Cobimetinib_MEK_phi,bind_DUSP_pERK_dG,bind_DUSP_pERK_kf,bind_DUSP_pERK_phi,bind_Dabrafenib_RAF_dG,bind_Dabrafenib_RAF_kf,bind_Dabrafenib_RAF_phi,bind_EGFR_EGFR_dG,bind_EGFR_EGFR_kf,bind_EGFR_EGFR_phi,bind_EGF_EGFR_dG,bind_EGF_EGFR_kf,bind_EGF_EGFR_phi,bind_GRB2_SOS1_dG,bind_GRB2_SOS1_kf,bind_GRB2_SOS1_phi,bind_LY3009120_RAF_dG,bind_LY3009120_RAF_kf,bind_LY3009120_RAF_phi,bind_MEK_uERK_dG,bind_MEK_uERK_kf,bind_MEK_uERK_phi,bind_PD0325901_MEK_dG,bind_PD0325901_MEK_kf,bind_PD0325901_MEK_phi,bind_PLX8394_RAF_dG,bind_PLX8394_RAF_kf,bind_PLX8394_RAF_phi,bind_RAF_RAF_dG,bind_RAF_RAF_kf,bind_RAF_RAF_phi,bind_RAF_uMEK_dG,bind_RAF_uMEK_kf,bind_RAF_uMEK_phi,bind_RASgtp_RAF_dG,bind_RASgtp_RAF_kf,bind_RASgtp_RAF_phi,bind_SOS1_RAS_dG,bind_SOS1_RAS_kf,bind_SPRY_GRB2_dG,bind_SPRY_GRB2_kf,bind_SPRY_GRB2_phi,bind_Selumetinib_MEK_dG,bind_Selumetinib_MEK_kf,bind_Selumetinib_MEK_phi,bind_Trametinib_MEK_dG,bind_Trametinib_MEK_kf,bind_Trametinib_MEK_phi,bind_Vemurafenib_RAF_dG,bind_Vemurafenib_RAF_kf,bind_Vemurafenib_RAF_phi,bind_pEGFR_GRB2_dG,bind_pEGFR_GRB2_kf,bind_pEGFR_GRB2_phi,catalyze_CBL_EGFR_ub_kcat,catalyze_DUSP_ERK_u_kcatr,catalyze_EGFR_EGFR_p_kcat,catalyze_EGFR_deg_kM,catalyze_EGFR_deg_kcat,catalyze_EGFR_dub_kcatr,catalyze_EGFR_endo_kcat,catalyze_EGFR_recycl_kcat,catalyze_EGFR_u_kcatr,catalyze_MEKmekiNone_phosphop_ERK_p_kcat,catalyze_NF1_RAS_gdp_kcatr,catalyze_PP2A_MEK_u_kcatr,catalyze_RAF_RAFrafiNone_MEK_p_kcat,catalyze_RAFrafiNone_MEKmekiNone_p_kcat,catalyze_RAFrafiNone_MEKmeki_Binimetinib_p_kcatr,catalyze_RAFrafiNone_MEKmeki_Cobimetinib_p_kcatr,catalyze_RAFrafiNone_MEKmeki_PD0325901_p_kcatr,catalyze_RAFrafiNone_MEKmeki_Selumetinib_p_kcatr,catalyze_RAFrafiNone_MEKmeki_Trametinib_p_kcatr,catalyze_SOS1_RAS_gtp_kcat,catalyze_pERK_BRAF_pT753_kcat,catalyze_pERK_CRAF_pS642_kcat,catalyze_pERK_SOS1_pS1134_kbase,catalyze_pERK_SOS1_pS1134_kcat,catalyze_phosphatase_BRAF_uT753_kcatr,catalyze_phosphatase_CRAF_uS642_kcatr,catalyze_phosphatase_SOS1_uS1134_kcatr,ep_EGFR_EGFR_mod_EGF_single_ddG,ep_RAF_RAF_mod_Dabrafenib_double_ddG,ep_RAF_RAF_mod_Dabrafenib_single_ddG,ep_RAF_RAF_mod_PLX8394_double_ddG,ep_RAF_RAF_mod_PLX8394_single_ddG,ep_RAF_RAF_mod_RASgtp_double_ddG,ep_RAF_RAF_mod_Vemurafenib_double_ddG,ep_RAF_RAF_mod_Vemurafenib_single_ddG,ep_RAF_RAF_mod_pRAF_ddG,ep_RAF_RAS_mod_pRAF_ddG,ep_SOS1S1134p_GRB2_ddG,ep_pMEK_Binimetinib_ddG,ep_pMEK_Cobimetinib_ddG,ep_pMEK_PD0325901_ddG,ep_pMEK_Selumetinib_ddG,ep_pMEK_Trametinib_ddG,mDUSP_eq,mEGFR_eq,mSPRY_eq,msynthesize_pERK_DUSP_kdeg,msynthesize_pERK_EGFR_kdeg,msynthesize_pERK_SPRY_kdeg,pERK_IF_offset,pERK_IF_scale,pMEK_IF_offset,pMEK_IF_scale,psynthesize_pERK_DUSP_kdeg,psynthesize_pERK_EGFR_kdeg,psynthesize_pERK_SPRY_kdeg,synthesize_pERK_DUSP_ERK_gexpslope,synthesize_pERK_DUSP_ERK_kM,synthesize_pERK_EGFR_ERK_gexpslope,synthesize_pERK_EGFR_ERK_kM,synthesize_pERK_SPRY_ERK_gexpslope,synthesize_pERK_SPRY_ERK_kM
0,-469.9858874581108,1116.086398954763,16903.466895471614,13103.648497460768,7352.359037221228,9001.299742058882,137676.37304289374,47331.60236294534,136106.2194645016,102196.47889865215,6469.71029413445,12329.981647129938,-3.5995227593892394,0.010027867716401597,0.0,-4.128101723491322,134.01438939379022,0.0,-2.7551021219047485,6745988.450727702,0.0,-4.636543033560125,1064.3784213415631,0.0,-14.14536186956154,607209.1273243449,0.0,-6.428215785689649,1062.574414419122,0.0,-3.668939295359745,182112.67384580092,0.0,-7.666702426562372,2479887.470510191,0.0,-5.308794244755427,30385.865566380362,0.0,-5.270134593584499,0.010007957662831022,0.0,-1.439294886515515,24232.183711174355,0.0,-5.694858971388976,731.9884872575772,0.0,-5.352446464154282,9999.379507322654,0.0,3.76140903513216,251.70953072238018,0.0,-4.52490216776234,1168.021644677349,0.0,-3.981445716779948,58472.33647560164,0.0,-5.438518111982285,374481.4397384995,-6.172516124881363,4995.107503392178,0.0,-4.5482993705875385,8719.074982986222,0.0,-5.099236120347537,1.2403309000956813,0.0,-3.834277079680964,1.44313736835185,0.0,-4.689711271008054,39410.06294984518,0.0,31018.87449432908,0.007278929156234476,72500.58119246617,0.5548454417984406,280.2916650432283,0.001804683426866713,3047.221650548273,1386.3395435837365,0.0003537458646667455,23078.75092615753,0.00206684231176047,0.006133115357773793,11702.957751517424,422.1008665839627,0.1463931771380498,0.006221327761894336,0.0776577079416554,0.13536810004241734,8.332131138370366e-06,19256.02618398778,70.08648221367596,16476.188075697737,5.3666316228303055,1145.9775100183924,0.002983929351163424,0.0011959607351607786,0.04876084113346676,-6.479352379126768,7.132902030621333,-10.84037060160357,11.51215821468715,0.0,-22.994307063805536,10.5711021521333,-10.736604588029971,5.257714537078989,-0.748325676984598,4.711924930202476,3.8805540011004536,1.6434491893929015,4.033181478288602,3.7919082167429834,5.480331373281776,264.39763874219835,18.48804946920416,14.928376688138961,1.279092238513145,0.27020436306041823,1.386238373189851,0.08104823059859508,1.9005626697169409,0.09696164122676701,51.61451033036138,0.3162473673599644,0.2018498014994797,0.30432771663644154,27.856573798662048,0.25052419110129787,3.098266577134836,0.05031593188656811,1457.5242164744905,1.1324789622933713
1,-401.9107580785868,1134.747958969368,15410.437180104473,12151.013446033943,2772.531174299357,13388.728234758904,178647.91003529186,66829.82717168973,102936.17099393184,112508.42676421741,6512.787700011584,5612.533806950308,-4.0509877665204455,0.010000252756155851,0.0,-4.051424034545862,72.63210377738702,0.0,-7.825197204312278,8437198.571284592,0.0,-5.458070736508822,264.2160127068305,0.0,-7.637854315752162,540722.9050430392,0.0,-6.892268623832801,645.3264628223791,0.0,-8.930703956473218,2319187.157551248,0.0,-9.181272273789586,6314153.496126226,0.0,-6.719287967313359,12182.297421336438,0.0,-5.6520323956616325,0.011523109351844767,0.0,-5.863130487176905,510230.43345520116,0.0,-6.018355408102787,146.82502291617746,0.0,-5.649175251023655,245.03073003288048,0.0,3.297864761507864,578.8403954704397,0.0,-2.862579285142646,136.39467062757856,0.0,-7.406731563704778,214153.94484018077,0.0,-4.179564649059336,2017623.5501625356,-5.540491156065185,153.30505301002563,0.0,-3.792427433285607,35.98369415536827,0.0,-6.565165059906476,18.582483824418972,0.0,-3.803311548865256,1.6843832987695913,0.0,-3.659822121061046,4680.36944089553,0.0,1400.05545177518,0.1219147972470944,46331.91417855342,0.08854936687485979,865.3736351534499,0.00023677249032937086,1031.9809046920395,442.8886879299133,0.0012825083460814386,5942.348941255223,0.0061799377557943454,0.003371335375436043,1963.1625628334218,840.6736107439018,0.004360077026766606,4.718402913679532e-06,0.003549687473244412,0.0037859979770500122,1.0021466006314355e-06,7349.163745590234,2920.151930319176,13.770375519855692,2.0653331409585136,770.9213105115284,0.005259544473169724,0.011615859018944954,0.06119088504353889,-9.741914415317307,11.512912611964294,-7.935002738035638,11.509575189442108,0.0,-23.02528768401194,6.655871034942658,-9.56162606313875,5.779874266082611,2.281994331289189,8.624611626072756,3.083296235824708,1.8340818780293608,3.6854960318724874,3.651151640435289,4.079794189848458,101.11100248893298,28.693768095547004,8.760060619487218,0.9389347685518715,0.6108348881949315,1.3841916583431153,0.08402731619138487,2.226311144678344,0.09999970015744379,26.475472215678845,0.5785866605314516,0.3535682666413984,0.09027383687371299,104.07370402328822,1.247080245749932,137.5853612159846,7.768597366859562,20742.96792584137,3.3721108404329625
2,-338.29081924135386,1126.3063179830613,16809.015944388877,15093.266062111132,2419.199977426655,13938.225816562932,178234.97316983988,44056.795210181815,105780.00114451916,274180.70924773003,5869.231991898155,22587.421219567717,-4.077205467799988,17.566490221086486,0.0,-3.600461684136093,505.9663699993563,0.0,-3.6854898352168655,6315390.234230005,0.0,-4.266830166863785,1.010079905505937,0.0,-10.910757566760813,596954.8703923911,0.0,-6.862178655261397,1129.1483411454694,0.0,-5.7749674145769445,62218.7697691121,0.0,-9.002929119001312,9236775.209574627,0.0,-5.490606959914109,500616.0522169606,0.0,-5.67879998399096,0.010790564874688728,0.0,-6.686482257029737,806191.9816524427,0.0,-5.260850616872882,123.97613066615082,0.0,-5.849186434374525,2279.487969285832,0.0,4.058472487467401,250.10894149549418,0.0,-4.221192990434601,658.0051973368545,0.0,-6.68048682152807,113644.20499555253,0.0,-6.426734030656863,197438.86825180904,-5.222875151989085,3481.9974255707893,0.0,-3.233377524136434,95.54637399387147,0.0,-6.166245928998124,18.44641796065994,0.0,-4.0609085351938194,335.5225972498062,0.0,-4.189930139532845,881386.3886364918,0.0,29504.74489472081,0.07073987763197127,83759.86475410394,1.0962172957719245,22.443841082115984,0.009407608383116727,3692.3764470487145,789.1493084780374,0.00012003720563207166,6902.417284378925,0.026253675701723683,0.0016433979959460155,29378.682794970264,3215.0488602228675,0.0008141351621829847,4.059307259689481e-05,0.003089260701575928,0.002869988839493926,0.0019834620388772444,2506.2082481561247,711.726535893023,378.450862282716,0.1345652170233727,116.55308082784894,0.01905576350115793,0.030091496924583835,0.04395248867434643,-9.338332031921937,11.277424848154132,-5.2532562503239655,11.5015107822174,0.0,-22.703482229225727,2.1323927232562827,-7.646984475449955,5.723705874322943,2.2069844279156765,3.3061100186365726,2.5347016419576813,4.150062254250234,3.266008229429666,3.0598934033808494,3.629909682651132,81.18401755685885,29.254582685218555,22.484709125700853,0.730796236302965,0.6471688793040122,1.3864274147383109,0.08718761296970681,2.245760880005787,0.09999981972333344,39.44846765934996,0.4325454925935853,0.14618488700737833,0.12974839766867044,97.87008836889848,0.7986953381831959,6.935945625934265,0.030931318166563596,6076.220428596101,3.8166382926208517
3,-320.2731642393171,1144.2370818470076,16473.0899530252,12015.175768254632,5836.853525493427,25353.883906584546,187996.9295564853,54553.87563729778,113060.77532052802,340664.1759711362,5747.369805144271,29136.19147121072,-4.070858655060992,0.010000360703093196,0.0,-3.5500987841485854,82.90385466463643,0.0,-3.6928641506650015,742.5908043177272,0.0,-4.481066365961821,0.7714869962952274,0.0,-15.264180227454398,280264.05967681756,0.0,-7.02146201500732,775.7604749509616,0.0,-4.491158849217753,71011.19955132731,0.0,-8.720937302739078,9529357.756824812,0.0,-8.324394246811966,4891.307505458474,0.0,-5.680909352236172,0.013034572350213875,0.0,-6.179039683281554,391255.9270404581,0.0,-5.320171080971821,187.7327736208342,0.0,-5.704464756449493,71.00499787206589,0.0,3.112350942586648,242.69436829272772,0.0,-4.20828046464836,99.97582414999752,0.0,-9.197660571996977,272635.6270911122,0.0,-7.891070688911417,95173.14042330885,-5.337579837207544,117.28930489917796,0.0,-3.1900053546390987,37.06427455297637,0.0,-6.332105976440735,11.083701052715984,0.0,-3.857066606431719,2.983908682036586,0.0,-3.130727391407613,5951622.690219366,0.0,9882.632407426898,0.08239544096921972,19091.307108581175,0.005731766751355018,93.27267558982035,0.0031525942059228295,235.9256381960817,345.9266918290503,0.0006438690683862325,8684.146961195063,0.02107360259533625,0.001200622766640382,4990.360107338102,154.63746694797211,0.0006663189952736588,0.0009645848131640602,0.004599508013597375,0.002220275708499651,0.007427753108524422,2071.5250454325983,21938.84427693763,11.043868293042708,3.40679360633085,399.89005297213237,0.005268136225456245,0.008488438700499194,0.07314755641806978,-10.14702700148973,11.39584889748028,-7.4125721903963,11.491995911098034,0.0,-22.99963248127711,7.002679842117443,-8.892060487432577,4.968619188074225,4.392704734783633,8.796140416921567,2.67483356324372,4.96938250839888,3.0174669716545424,3.145187009946061,4.283803505948109,189.37560000798175,57.716910919258105,38.807491738919744,1.2274638891425365,0.5426230401938797,1.3558900540226004,0.07643871660644957,2.6656777395356253,0.09988490049208129,34.833385760783614,0.4595974391688214,0.13116810018501196,0.03912212592576933,128.88591088496995,1.653238135621856,7.30963593316933,0.1946379659003687,5473.025323936263,1.5004729695825736
4,-319.24078755393685,1218.1292705910723,15566.11321207062,6773.190302638266,2683.752439663776,31763.765907023266,144304.11499774863,70093.24549049736,116546.16880188113,131325.23378731287,5526.035839669517,56394.67386662643,-4.379044480213599,1.6125458910905726,0.0,-4.343381575080918,47.94489763291083,0.0,-8.899095461855824,272756.1670949864,0.0,-6.182728184059467,612.0398211246815,0.0,-8.009001766780468,197793.73455191983,0.0,-7.153840100039861,651.6100017096081,0.0,-2.051223688019287,5078337.552733201,0.0,-6.414211959070166,1070486.1977064637,0.0,-6.339156114271244,3345.9082847662685,0.0,-5.990979747559931,0.011018877637384622,0.0,-6.611367365263806,1340303.7605097578,0.0,-6.490953590618126,103.71693394087877,0.0,-5.837775220693796,30.8113939391582,0.0,-0.5286760914120865,8474.421036443384,0.0,-2.3653222939805536,74.80462512609736,0.0,-6.166131574497203,252665.32975285556,0.0,-2.446979372823249,170869.1716836952,-7.968459435637331,22.28431451517938,0.0,-4.1546320504259,21.27225540174493,0.0,-6.943960869785167,138.20223122340488,0.0,-4.0909394616355685,5.919100961262874,0.0,-6.334830641768352,4304354.768269718,0.0,1631.216293906648,0.09670139645162468,26792.536390299425,0.015413525603530646,441.57242479408796,0.0006239335792403006,96.35019986983471,10.790860368517235,0.00010391745801340425,3558.3561616354955,0.008740248054077828,0.0017440221147842522,2062.8199859906613,171.51481329890987,0.007169030506208304,1.1736169679192593e-06,0.007239038511283937,0.00681006276556585,1.8276945809802961e-06,10248.50930194581,117.20380393075135,11.257671264131293,0.3296266118318227,260.635048001233,0.00019031743079924257,0.027506632396579495,0.06319974919792425,-7.088098819370286,10.632091280641774,-5.831567882670191,11.21522579221392,0.0,-23.007569039973053,6.180548246166144,-7.534442626228958,5.303048382369858,1.5210777808008116,3.713016165516893,3.407242078933556,2.298332132242144,4.262812551068919,4.053198240394702,2.685397043708914,81.78667250798013,64.07324436156527,112.26553750116396,1.3799063931227016,1.0254663748556032,1.7763556680087693,0.08377766277674396,2.2536924215066083,0.09999903270330505,25.83260150196504,1.3383679352482427,0.2430779143922349,0.0709989082599286,379.7107260392024,5.299831332147025,20.031212631276283,0.6953684114816339,985.9006677594982,1.0378003608897484
5,-302.42777715862724,1132.4117958972524,16610.60884350641,14351.351859000897,6098.1004704558145,34029.904768155604,165524.9623068528,24821.312824572444,96133.14073660335,277484.1571467649,6225.287715727768,10076.595724719953,-3.8982075067564272,30.717636798801923,0.0,-4.161977068265839,86.77326000481835,0.0,-5.860926871034875,5952.027818673998,0.0,-5.572979088638396,687.371332378345,0.0,-10.0042027027247,247863.36764184677,0.0,-6.6441337070411866,9631.35922646599,0.0,-7.373281400643479,5666123.230286857,0.0,-9.015574951381744,7103474.37536809,0.0,-5.595855366709887,10490.974829479372,0.0,-5.52405843519046,0.014669438287146338,0.0,-8.20327716460711,296823.06595467223,0.0,-6.238202936266062,191.72930962279577,0.0,-5.3575933003309695,9962.729222950145,0.0,4.750831195908748,108.31428292053106,0.0,-3.594222706860561,2255.9043358266645,0.0,-3.431863517786051,175307.11159837226,0.0,-4.4733138271652,41604.632552726245,-7.504424483307615,77.81975754117698,0.0,-4.1781118974493205,31.251914396442583,0.0,-6.613134776705726,210.74469142971833,0.0,-3.6696544953748327,1.6241843885726794,0.0,-8.654589226827056,1427863.0911602394,0.0,10.174629705193768,0.1163964337945395,49339.398612220044,0.0030151659555368825,59.363975227632864,0.0010944542475482967,67772.95779334885,937.6699423248778,0.00010022198512503194,7840.97328280331,0.04308401212284162,0.004436629344133593,11793.712684849188,225.09933634914609,0.13536053128422065,0.013858543078706187,0.10058568434885519,0.13304739895716483,3.402543423903252e-05,991.6682200279988,14.797127466311597,2218.250114777058,5.200377278573311,445.4853251987054,0.015583794570611506,0.001253850426577477,0.051823067701303786,-11.264819922258845,5.156137852864674,-9.825802789081097,11.506390974646935,0.0,-20.51334989263276,7.367010441719207,-9.82184124781139,3.9768606259162578,-3.290458091316085,8.99313574910573,3.607880346304581,2.3285578027582625,4.437258940114972,4.534418888570592,3.323773969384776,270.1144083755307,37.26218144692053,10.626830360784615,0.8073139793931231,0.7252188573194679,1.7006081866409393,0.07035305735544596,3.495984289340602,0.09969658922748123,34.46351091451311,0.17931858662316966,0.2959165753082568,0.7873943897450857,140.77082498181363,0.9917728307980612,3.357705705732567,0.06358849686789039,1662.5708974484207,1.494082260954632
6,-279.97190425146067,1219.9786463849273,16704.21363627339,18785.65433038417,1592.794791023273,24424.222605198065,91445.18308323341,53904.26343630029,145394.4669761252,333611.4038937275,6168.392725871732,45753.88182530383,-4.308939171456311,8.214196900114912,0.0,-3.612918125824028,55.42307632695959,0.0,-5.348470348806007,8557.336683040818,0.0,-5.150135815831876,369.74370889059634,0.0,-15.682097695058202,2510636.8608819246,0.0,-7.17295256529017,4331.206660386442,0.0,-8.884722691713176,2353611.4244314856,0.0,-0.702119629881456,5901628.138073427,0.0,-8.767726562388976,335.2226417339261,0.0,-5.951078792798934,0.01000645265164492,0.0,-6.787007605801298,315692.9878440392,0.0,-6.08777278546612,9229.05743684917,0.0,-5.916195172846884,1353.0211267129405,0.0,1.5420786737704255,2616.1758450543493,0.0,-3.3110532821411667,626.913697760508,0.0,-7.666333479060251,1539883.6393991387,0.0,-6.566266599207283,89301.2856457211,-6.868396842753619,223.55566159761597,0.0,-3.905524808894957,1009.5425078851001,0.0,-6.292884551809352,76.92367193079451,0.0,-3.997147043922857,7.813741472319629,0.0,-3.595509974835404,4620723.162184337,0.0,30757.09480850915,0.16415342357673754,84664.56562008022,0.012912423073486614,144.21788590253252,0.0005154155127898137,9926.239895527426,883.4157873006673,0.0003495769595245381,7013.3249543844,0.00603769345277762,0.001442651241721425,1297.8675300255798,5501.6018398018205,0.0014648348040015103,2.6734064670490665e-05,0.0005070268173250598,0.0003671612937979935,7.512053268240929e-05,6781.342048251228,26.4581693357223,26.007253035350743,0.020040390842572905,10.971671870126002,0.00031170606648740594,0.007487588755984981,0.02848881239988993,-11.190928006469022,11.238000214825908,-6.593586968971562,11.065830651903,0.0,-22.63806468226174,6.099484079494174,-8.493475289981419,5.870492455664301,2.12959674591567,7.817735222111953,2.783870117052886,1.5594876387021648,2.2423167179356858,2.345520432714144,2.607667577641586,62.42906151491632,59.03021274479861,62.86296943455542,2.250621676457785,0.5808822667615562,1.6426558321011326,0.08330413929804906,2.1013505941038986,0.09996541160668652,2.4109251655144264,2.7304381275297076,0.14075191321594077,0.05000260091394458,381.26557448273536,3.4486455329776637,408.59221958862526,8.4229975812539,5839.830032767627,1.7924566797246284
7,-251.34160184324892,1109.783803097328,16760.660964538783,15624.556256330057,4811.63199622243,3952.086666204433,128560.06610298704,48354.583640753655,136885.49346962728,196801.32902013094,6515.178231702105,12653.657474457697,-3.5794810330848814,0.010000936249446502,0.0,-4.743960107405124,9985.17579723303,0.0,-8.714959889253981,14122.040248288395,0.0,-4.4705942696425485,1.1817635258490982,0.0,-15.702163537787497,353401.8414882228,0.0,-6.4343881976161486,1525.4399318766998,0.0,-7.724035208535241,5672532.337956944,0.0,-8.812914020996935,8860077.543987071,0.0,-6.588951679557188,7266.508538695229,0.0,-5.263567428025131,0.010002139062829924,0.0,-0.8457485628410976,43256.852904073705,0.0,-6.8816968650754,9989.02328686077,0.0,-2.738078349188932,2124.7014943424674,0.0,-4.5628181462142665,2.081125485750331,0.0,-4.114895471886874,51.9991839316263,0.0,-3.115828758157143,12821.669852052471,0.0,-2.7300528862326328,58867.87904666731,-8.870146276101348,21.50126632719372,0.0,-4.719781709327271,9823.228734990691,0.0,-5.956912482416102,35.91786642369117,0.0,-4.274359778204856,1240.4292106820203,0.0,-3.385654289781039,103932.7082599224,0.0,4630.967622398307,0.009678433076462635,1100.4724149402384,0.024215023898701216,171.44944088027955,0.00010383685376188111,2013.3579621725255,5047.488584009272,0.00012347536195355966,93786.48000470112,0.008583380694788728,1.3673403807713966e-05,79554.21384011311,11.678011450795758,0.18993430520574653,0.01393694288138451,0.0964922539856607,0.1983634670693479,0.004864421611714785,24094.667976099638,66507.24508399241,21410.169448269196,0.4928546032242316,450.34713338995556,0.00021706085661633108,0.16102351082159921,0.04997213655070007,-10.274919563818491,11.510076715209738,-6.117073143084569,9.052282798716773,0.0,-12.136760242929505,0.8884773551826597,-4.126318486443184,8.956204608158886,7.084739475529509,6.889322107435591,3.0163961319900388,2.5217156800400944,4.089565051979739,3.530605423120416,2.488527186804628,165.611147568426,8.707810305165193,16.80894842132505,1.9089138362006444,0.1212905270989354,1.3564561266681125,0.09934702012936818,1.9780005204229159,0.09999289766989901,21.45316953362973,1.05575334368853,0.23421400053746333,0.5919170825412217,239.01460081521924,3.66709738972371,123.62043117206676,5.5264901596323845,1786.1660881155408,2.6781599989581295
8,-200.18739899136216,1163.3714985605077,16389.46798028398,14461.572757319906,2623.433517045249,17621.66450050929,110460.51708852715,52458.21080830505,125776.68481774427,370573.22107879154,6298.85739262077,22963.500005313395,-4.204868264212487,0.010005554939092408,0.0,-3.9549576491151712,80.32966928828829,0.0,-7.957610511538356,8106196.077052846,0.0,-4.618271433730821,1.3558559694057712,0.0,-11.818842949144509,892183.0213413944,0.0,-7.153801011485759,620.4475842528439,0.0,-3.752375096406603,2736830.8652206045,0.0,-7.453667835330518,7850377.610033976,0.0,-8.735334165723502,19641.53586337486,0.0,-5.812987521725165,0.016416879913789404,0.0,-3.390823542671977,1258591.0168922713,0.0,-5.652656356471274,183.86832446753453,0.0,-5.670406943662179,25.977143615468226,0.0,3.0778117053092413,109.77403694177225,0.0,-4.778815352363048,46.61116356117681,0.0,-7.495141578741316,513176.9274681228,0.0,-4.7036378958462,53628.03476603885,-8.268182310209937,9.656186517554385,0.0,-3.389163528011275,26.7868506015708,0.0,-6.225866689823802,420.6017246549664,0.0,-3.994425517399297,15.024445711359903,0.0,-2.262195368472009,825420.9675722565,0.0,10723.892940760805,0.022560560001021614,74275.06334012252,0.06177602342529242,46.38810098456285,0.0003569168205891294,1684.5772123974514,11.47150150250208,0.00909597909626716,60118.075443169284,0.019647851647740255,0.0024617911212894525,1652.6667501172267,58.71317851037653,0.0048308179647948216,0.00814910465779007,0.010009281253363683,0.005479299333893701,1.0942035652688268e-05,1820.550069788148,11387.716473652034,364.95458273647154,6.380682972656436,942.879595556772,0.00047280741641819577,0.00506801762330458,0.05866628548692427,-8.819720403326762,9.56942404850596,-7.668133641796591,11.504192278823792,0.0,-21.928405709320124,1.7515807712431668,-9.293807147277851,4.657191340473951,1.7333716181669283,8.814140786699745,2.704431684074513,3.705123112687229,2.9817536567447367,2.996486290472139,0.8886117666114305,84.59567243861606,39.18266221947362,28.585756044765684,1.0321014183799313,0.5729706022733272,1.4655791314165747,0.07460526068115943,2.051708827336039,0.08288534454055836,55.78943265465504,0.7406035813012636,0.2151894900002535,0.05656134536412386,177.87637615486318,1.470467595370513,85.72895061714004,2.5202097180285805,27077.002920954015,6.2401046557837345
9,-195.0830353873368,1190.2624294952907,16741.005291417267,7990.305758787439,2038.1957827726462,20794.93767028776,180634.79407551675,38281.707266434896,117704.72102333515,166614.69756202382,7509.375972700725,7979.78984426103,-4.062822953803994,0.010001892132007842,0.0,-3.25200087843165,74.31476603013064,0.0,-7.82114204879372,132354.73387908403,0.0,-4.073515473303321,2.8392779872253815,0.0,-15.94256202656562,107286.89303072587,0.0,-6.865754255486167,1343.676374716875,0.0,-6.969804484925292,8391317.19060291,0.0,-4.628869885465158,1175045.171910213,0.0,-3.9096669778800384,18464.086983776928,0.0,-5.696965653328067,0.010005304320126704,0.0,-9.364034830954768,76081.33725351594,0.0,-5.182431149469304,165.5009817701247,0.0,-5.679617054618536,83.90297958715524,0.0,0.406806321442943,2300.8003813359014,0.0,-4.383847593102114,153.42098564717952,0.0,-4.257434064807331,3559.0740860116252,0.0,-7.468516006865134,57170.645050459716,-8.115442252969551,1.2242004435878289,0.0,-2.7888159032762863,23.221572444142364,0.0,-6.167459516643362,146.263292146636,0.0,-3.8216368045665976,3.9391645391520766,0.0,-9.180917911587622,26740.99673135693,0.0,7043.370598494354,0.07161279732517425,21806.118919234003,0.03382818446836915,971.066278927703,0.024460816179275657,7530.04804282647,15.81092247067267,0.003455709653309937,5790.126231734441,0.008928155153370492,0.004276448211368888,1969.402989265263,249.51261149523273,0.002832149272998183,2.20633273262603e-06,0.00752501279363236,0.0034824248622477424,0.009319822363968092,4083.5927661484657,11.361820499517442,2955.9079857115653,0.1603539034910737,5224.1391956561965,0.00010573693465487927,0.04772716884139452,0.04358135046753367,-11.314005016978795,11.509422659011262,-8.68051380573286,11.510423596970671,0.0,-22.50043947992213,9.936182682473424,-8.075272390423258,5.333300909550467,-3.0101064260912023,5.870467142641188,2.4481013257196285,2.6855340346898315,3.0171914052628988,2.86239273398878,2.071082978263564,61.39902847409189,39.924887838005674,9.742883438563503,1.401798248400126,0.3884755422288245,1.6573343132124831,0.06396049227379429,4.672388909707187,0.09996858970990123,29.888948810423653,1.3214132597471293,0.11474047819804056,0.13251439819410202,49.61130803777752,0.24781112694899587,4.846934712725872,0.0412344472395539,6452.904532105668,0.7147191707663698
